"","collection_num","wrf","neg","pos","percent_pos"
"1","93","CC",12,6,33.3333333333333
"2","93","MI",16,2,11.1111111111111
"3","93","NO",17,1,5.55555555555556
"4","95","CC",31,5,13.8888888888889
"5","95","MI",31,5,13.8888888888889
"6","95","NO",21,15,41.6666666666667
"7","96","CC",33,3,8.33333333333333
"8","96","MI",31,5,13.8888888888889
"9","96","NO",34,2,5.55555555555556
"10","97","CC",12,24,66.6666666666667
"11","97","MI",29,7,19.4444444444444
"12","97","NO",21,15,41.6666666666667
"13","98","CC",17,19,52.7777777777778
"14","98","MI",24,15,38.4615384615385
"15","98","NO",27,9,25
