"","date","total_copies"
"1",2020-06-30,28313367850306.4
"2",2020-07-07,9160485675315.81
"3",2020-07-14,12516000617310.9
"4",2020-07-21,60696974942503.5
"5",2020-07-28,43873476052906.7
"6",2020-08-04,1404644967397.44
"7",2020-08-11,9050103877398.67
"8",2020-08-18,32065931828133.3
"9",2020-08-25,30476444473587.2
"10",2020-09-01,93800600019617.4
"11",2020-09-08,91740123002066.6
"12",2020-09-15,49438716321034.5
"13",2020-09-22,26896372619283.2
"14",2020-09-29,21725814546860.7
"15",2020-10-06,5089207452092.56
"16",2020-10-13,18547484099303.7
"17",2020-10-20,17459440083468.2
"18",2020-10-27,32767945215267.6
"19",2020-11-02,17365786245624.5
"20",2020-11-04,12785365750751.5
"21",2020-11-09,7252556661489.49
"22",2020-11-11,8986181265875.56
"23",2020-11-16,6408746484728.03
"24",2020-11-18,6891603597841.46
"25",2020-11-23,24947651970083.8
"26",2020-11-25,17926200560766.4
"27",2020-11-30,37010257025515
"28",2020-12-02,15087537852516.5
"29",2020-12-07,55821153161275.3
"30",2020-12-09,30959821364183.1
"31",2020-12-14,41069585940865.7
"32",2020-12-16,66144655524318.2
"33",2020-12-21,113793560531267
"34",2020-12-28,83759873466158.4
"35",2021-01-04,39144411394240.8
"36",2021-01-11,252018278055730
"37",2021-01-13,73326901412881.5
"38",2021-01-19,248015398475233
"39",2021-01-20,95759846955278.9
"40",2021-01-25,53825915882066.4
"41",2021-01-27,60020191658400.4
"42",2021-02-01,26906691518753.7
"43",2021-02-03,36621958858637.9
