"","date","total_copies"
"1",2020-06-30,44831684221734.2
"2",2020-07-07,15642625234645.2
"3",2020-07-14,20372299025133.6
"4",2020-07-21,87167243840896.4
"5",2020-07-28,66660231658047.7
"6",2020-08-04,2662199717652.02
"7",2020-08-11,15250824522905.8
"8",2020-08-18,42906937381637.8
"9",2020-08-25,54027482104750
"10",2020-09-01,141208408900548
"11",2020-09-08,134078919128922
"12",2020-09-15,71308956462498
"13",2020-09-22,41330372400009.7
"14",2020-09-29,39818307603744.3
"15",2020-10-06,10038895507042.3
"16",2020-10-13,21751964395954.1
"17",2020-10-20,24811358957422.6
"18",2020-10-27,43130251455217.1
"19",2020-11-02,33559041314135
"20",2020-11-04,25437025412574.3
"21",2020-11-09,9525092808455.73
"22",2020-11-11,14474203758310.8
"23",2020-11-16,12683651687313.2
"24",2020-11-18,13646391662825.8
"25",2020-11-23,45657388850775.8
"26",2020-11-25,31611071157824.9
"27",2020-11-30,60370516046723.8
"28",2020-12-02,20847937885551.2
"29",2020-12-07,92099493545678.4
"30",2020-12-09,42875048613645.1
"31",2020-12-14,71387568689143.8
"32",2020-12-16,80534235182528.9
"33",2020-12-21,213465242211132
"34",2020-12-28,136382440571551
"35",2021-01-04,46766217120887.1
"36",2021-01-11,464879804855491
"37",2021-01-13,97729584069642
"38",2021-01-19,429262968520983
"39",2021-01-20,143548778651103
"40",2021-01-25,79044832235068.9
"41",2021-01-27,91767976474160.7
"42",2021-02-01,50509903690300.2
"43",2021-02-03,59169226863037.1
