,wrf,collection_num,date,target,mean_copy_num_uL_rxn,POS_NEG
1,CC,19,9/22/2020,N1,0.013254102,POS
2,CC,19,9/22/2020,N2,2.00E-04,NEG
3,CC,20,9/29/2020,N1,2.00E-04,NEG
4,CC,20,9/29/2020,N2,2.00E-04,NEG
5,CC,21,10/6/2020,N1,2.00E-04,NEG
6,CC,21,10/6/2020,N2,0.226120535,POS
7,MI,10,7/21/2020,N1,0.58666695,POS
8,MI,10,7/21/2020,N2,0.536595313,POS
9,MI,11,7/28/2020,N1,0.002661236,POS
10,MI,11,7/28/2020,N2,0.072083179,POS
11,MI,12,8/4/2020,N1,2.00E-04,NEG
12,MI,12,8/4/2020,N2,2.00E-04,NEG
13,MI,13,8/11/2020,N1,2.00E-04,NEG
14,MI,13,8/11/2020,N2,2.00E-04,NEG
15,MI,14,8/18/2020,N1,0.017754258,POS
16,MI,14,8/18/2020,N2,0.045213885,POS
17,MI,15,8/25/2020,N1,0.01631707,POS
18,MI,15,8/25/2020,N2,0.012890339,POS
19,MI,16,9/1/2020,N1,0.206352153,POS
20,MI,16,9/1/2020,N2,0.188596721,POS
21,MI,17,9/8/2020,N1,0.072873141,POS
22,MI,17,9/8/2020,N2,0.296878815,POS
23,MI,18,9/15/2020,N1,0.220168994,POS
24,MI,18,9/15/2020,N2,0.396267004,POS
25,MI,19,9/22/2020,N1,0.029395168,POS
26,MI,19,9/22/2020,N2,0.033380708,POS
27,MI,20,9/29/2020,N1,0.052922645,POS
28,MI,20,9/29/2020,N2,0.012099088,POS
29,MI,21,10/6/2020,N1,0.001035159,POS
30,MI,21,10/6/2020,N2,2.00E-04,NEG
31,MI,5,6/16/2020,N1,2.00E-04,NEG
32,MI,5,6/16/2020,N2,2.00E-04,NEG
33,MI,6,6/23/2020,N1,2.00E-04,NEG
34,MI,6,6/23/2020,N2,2.00E-04,NEG
35,MI,7,6/30/2020,N1,0.115693136,POS
36,MI,7,6/30/2020,N2,0.184437026,POS
37,MI,8,7/7/2020,N1,0.081149966,POS
38,MI,8,7/7/2020,N2,2.00E-04,NEG
39,MI,9,7/14/2020,N1,2.00E-04,NEG
40,MI,9,7/14/2020,N2,0.173665922,POS
41,NO,10,7/21/2020,N1,2.00E-04,NEG
42,NO,10,7/21/2020,N2,0.103591045,POS
43,NO,11,7/28/2020,N1,0.024873034,POS
44,NO,11,7/28/2020,N2,0.077193795,POS
45,NO,12,8/4/2020,N1,2.00E-04,NEG
46,NO,12,8/4/2020,N2,0.005485578,POS
47,NO,13,8/11/2020,N1,0.011282533,POS
48,NO,13,8/11/2020,N2,0.014916537,POS
49,NO,14,8/18/2020,N1,0.006774924,POS
50,NO,14,8/18/2020,N2,0.034136961,POS
51,NO,15,8/25/2020,N1,0.050427218,POS
52,NO,15,8/25/2020,N2,0.018612002,POS
53,NO,16,9/1/2020,N1,0.713447789,POS
54,NO,16,9/1/2020,N2,0.57534675,POS
55,NO,17,9/8/2020,N1,0.207982252,POS
56,NO,17,9/8/2020,N2,0.401224671,POS
57,NO,18,9/15/2020,N1,0.844505184,POS
58,NO,18,9/15/2020,N2,0.123147205,POS
59,NO,19,9/22/2020,N1,0.020144754,POS
60,NO,19,9/22/2020,N2,0.01778533,POS
61,NO,20,9/29/2020,N1,2.00E-04,NEG
62,NO,20,9/29/2020,N2,2.00E-04,NEG
63,NO,21,10/6/2020,N1,2.00E-04,NEG
64,NO,21,10/6/2020,N2,0.000524224,POS
65,NO,5,6/16/2020,N1,2.00E-04,NEG
66,NO,5,6/16/2020,N2,2.00E-04,NEG
67,NO,6,6/23/2020,N1,2.00E-04,NEG
68,NO,6,6/23/2020,N2,2.00E-04,NEG
69,NO,7,6/30/2020,N1,0.680274778,POS
70,NO,7,6/30/2020,N2,0.214955141,POS
71,NO,8,7/7/2020,N1,2.00E-04,NEG
72,NO,8,7/7/2020,N2,0.133638836,POS
73,NO,9,7/14/2020,N1,0.029753239,POS
74,NO,9,7/14/2020,N2,0.367732627,POS
