"","date","wrf","influent_flow_mg","influent_tss_mg_l","influent_flow_L"
"1",2020-07-07,"NO",5.56,206,21046879.6
"2",2020-07-07,"MI",3.41,378,12908248.1
"3",2020-07-07,"CC",1.83,269,6927300.3
"4",2020-07-14,"NO",4.8,397,18169968
"5",2020-07-14,"MI",2.92,220,11053397.2
"6",2020-07-14,"CC",1.44,328,5450990.4
"7",2020-07-21,"NO",4.7,160,17791427
"8",2020-07-21,"MI",3.22,168,12189020.2
"9",2020-07-21,"CC",1.81,332,6851592.1
"10",2020-06-30,"NO",4.95,284,18737779.5
"11",2020-06-23,"NO",5.3,142,20062673
"12",2020-06-16,"NO",4.82,418,18245676.2
"13",2020-06-09,"NO",5.22,338,19759840.2
"14",2020-06-02,"NO",4.92,726,18624217.2
"15",2020-05-26,"NO",4.93,306,18662071.3
"16",2020-05-19,"NO",6.11,310,23128855.1
"17",2020-06-30,"MI",3.02,428,11431938.2
"18",2020-06-23,"MI",3.44,322,13021810.4
"19",2020-06-16,"MI",3.22,240,12189020.2
"20",2020-06-09,"MI",3.34,108,12643269.4
"21",2020-06-02,"MI",3.23,94,12226874.3
"22",2020-05-26,"MI",3.66,98,13854600.6
"23",2020-05-19,"MI",3.92,234,14838807.2
"24",2020-06-30,"CC",1.63,384,6170218.3
"25",2020-06-23,"CC",1.56,244,5905239.6
"26",2020-06-16,"CC",1.31,364,4958887.1
"27",2020-06-09,"CC",1.71,200,6473051.1
"28",2020-06-02,"CC",2.03,1130,7684382.3
"29",2020-05-26,"CC",2.22,384,8403610.2
"30",2020-05-19,"CC",1.63,360,6170218.3
"31",2020-07-28,"NO",4.77,256,18056405.7
"32",2020-07-28,"MI",2.97,258,11242667.7
"33",2020-07-28,"CC",1.31,196,4958887.1
"34",2020-08-04,"NO",5.8,296,21955378
"35",2020-08-04,"MI",3.54,176,13400351.4
"36",2020-08-04,"CC",1.54,260,5829531.4
"37",2020-08-11,"NO",5.16,319,19532715.6
"38",2020-08-11,"MI",3.2,104,12113312
"39",2020-08-11,"CC",1.42,430,5375282.2
"40",2020-08-18,"NO",5.71,266,21614691.1
"41",2020-08-18,"MI",3.34,292,12643269.4
"42",2020-08-18,"CC",1.67,628,6321634.7
"43",2020-08-25,"NO",6.36,294,24075207.6
"44",2020-08-25,"MI",4.05,196,15330910.5
"45",2020-08-25,"CC",1.75,256,6624467.5
"46",2020-09-01,"NO",5.73,215,21690399.3
"47",2020-09-01,"MI",3.3,248,12491853
"48",2020-09-01,"CC",1.71,444,6473051.1
"49",2020-09-08,"NO",4.96,250,18775633.6
"50",2020-09-08,"MI",3.26,212,12340436.6
"51",2020-09-08,"CC",1.37,184,5186011.7
"52",2020-09-15,"NO",5.46,596,20668338.6
"53",2020-09-15,"MI",3.45,208,13059664.5
"54",2020-09-15,"CC",1.51,492,5715969.1
"55",2020-09-22,"NO",5.42,233,20516922.2
"56",2020-09-22,"MI",3.64,244,13778892.4
"57",2020-09-22,"CC",1.95,1080,7381549.5
"58",2020-09-29,"NO",5.55,218,21009025.5
"59",2020-09-29,"MI",3.71,172,14043871.1
"60",2020-09-29,"CC",1.69,228,6397342.9
"61",2020-10-06,"NO",5.38,286,20365505.8
"62",2020-10-06,"MI",3.42,232,12946102.2
"63",2020-10-06,"CC",1.52,420,5753823.2
"64",2020-10-13,"NO",5.63,454,21311858.3
"65",2020-10-13,"MI",3.72,484,14081725.2
"66",2020-10-13,"CC",1.95,384,7381549.5
"67",2020-10-20,"NO",5.22,123,19759840.2
"68",2020-10-20,"MI",3.44,172,13021810.4
"69",2020-10-20,"CC",1.55,104,5867385.5
"70",2020-10-27,"NO",5.24,219,19835548.4
"71",2020-10-27,"MI",3.54,198,13400351.4
"72",2020-10-27,"CC",1.63,210,6170218.3
"73",2020-11-02,"NO",4.67,238,17677864.7
"74",2020-11-02,"MI",3.4,556,12870394
"75",2020-11-02,"CC",1.55,208,5867385.5
"76",2020-11-04,"NO",4.91,367,18586363.1
"77",2020-11-04,"MI",3.41,164,12908248.1
"78",2020-11-04,"CC",1.57,152,5943093.7
"79",2020-11-09,"NO",4.75,354,17980697.5
"80",2020-11-09,"MI",3.5,264,13248935
"81",2020-11-09,"CC",1.6,244,6056656
"82",2020-11-11,"NO",5.56,364,21046879.6
"83",2020-11-11,"MI",3.8,476,14384558
"84",2020-11-11,"CC",1.58,308,5980947.8
"85",2020-11-16,"NO",4.82,180,18245676.2
"86",2020-11-16,"MI",3.46,368,13097518.6
"87",2020-11-16,"CC",1.62,164,6132364.2
"88",2020-11-18,"NO",5.14,236,19457007.4
"89",2020-11-18,"MI",3.36,364,12718977.6
"90",2020-11-18,"CC",1.62,500,6132364.2
"91",2020-11-23,"NO",4.51,510,17072199.1
"92",2020-11-23,"MI",3.37,560,12756831.7
"93",2020-11-23,"CC",1.67,392,6321634.7
"94",2020-11-25,"NO",4.32,258,16352971.2
"95",2020-11-25,"MI",3.32,392,12567561.2
"96",2020-11-25,"CC",1.54,1120,5829531.4
"97",2020-11-30,"NO",8.72,272,33008775.2
"98",2020-11-30,"MI",8.52,240,32251693.2
"99",2020-11-30,"CC",3.13,231,11848333.3
"100",2020-12-02,"NO",5.39,246,20403359.9
"101",2020-12-02,"MI",3.89,228,14725244.9
"102",2020-12-02,"CC",2.06,188,7797944.6
"103",2020-12-07,"NO",4.96,320,18775633.6
"104",2020-12-07,"MI",3.75,163,14195287.5
"105",2020-12-07,"CC",1.75,224,6624467.5
"106",2020-12-09,"NO",5.15,462,19494861.5
"107",2020-12-09,"MI",3.5,396,13248935
"108",2020-12-09,"CC",1.71,312,6473051.1
"109",2020-12-14,"NO",4.8,184,18169968
"110",2020-12-14,"MI",3.63,76,13741038.3
"111",2020-12-14,"CC",1.7,132,6435197
"112",2020-12-16,"NO",4.95,272,18737779.5
