wrf,collection_num,cg_num,copies_ul_sample,copies_ul_input,percent_recovery
C,72,72,1.029210963,5.529140923,18.61430152
B,72,72,2.086746644,5.529140923,37.74088367
A,72,72,2.544821806,5.529140923,46.02562753
C,71,71,0.532218433,0.725353905,73.37362206
B,71,71,0.75072219,0.725353905,103.4973666
A,71,71,1.212725059,0.725353905,167.1908086
C,70,70,6.34161612,27.84843015,22.77189804
B,70,70,7.536326282,27.84843015,27.06194295
A,70,70,11.296294,27.84843015,40.56348575
C,69,69,0.605965092,0.917210072,66.06611835
B,69,69,0.910379234,0.917210072,99.25525911
A,69,69,0.540576217,0.917210072,58.93701277
C,68,68,1.976826408,5.207683206,37.95980535
B,68,68,3.817486251,5.207683206,73.30488625
A,68,68,3.315497632,5.207683206,63.66550154
C,67,67,5.3773116,8.138669748,66.07113652
B,67,67,2.212158371,8.138669748,27.1808347
A,67,67,7.938618062,8.138669748,97.54196088
C,66,66,12.63166139,24.09085013,52.43343975
B,66,66,7.076723382,24.09085013,29.37515009
A,66,66,13.53688657,24.09085013,56.19098746
C,65,68,2.477904023,5.207683206,47.58169659
C,64,64,4.613814354,12.08847975,38.16703548
B,64,64,1.80914114,12.08847975,14.96582844
A,64,64,4.663690514,12.08847975,38.57962797
B,63,63,5.214475381,4.535926018,114.9594451
A,63,63,6.522308918,4.535926018,143.7922244
C,62,62,2.72299672,4.490866576,60.63410421
B,62,62,1.298752321,4.490866576,28.91985988
A,62,62,3.071067109,4.490866576,68.38473281
C,61,61,9.198908864,36.50619367,25.19821417
B,61,61,6.279700719,36.50619367,17.20174055
A,61,61,7.976840978,36.50619367,21.85065102
C,60,60,9.964952508,40.14644402,24.82150724
B,60,60,16.95789798,40.14644402,42.24009971
A,60,60,21.56901342,40.14644402,53.72583785
C,59,59,4.164517967,NA,NA
B,59,59,9.484480254,NA,NA
A,59,59,28.11480401,NA,NA
C,58,58,23.40596348,80.97285464,28.9059384
B,58,58,20.10904471,80.97285464,24.83430379
A,58,58,21.32817625,80.97285464,26.33990903
C,57,57,10.82398418,36.37817527,29.75406024
B,57,57,11.60380923,36.37817527,31.89772203
A,57,57,15.63325989,36.37817527,42.97428271
C,56,56,33.63577046,230.0567883,14.62063811
B,56,56,38.04307975,230.0567883,16.53638653
A,56,56,0.215371127,230.0567883,0.093616506
C,55,55,9.083578184,46.39672119,19.57806058
B,55,55,10.98815646,46.39672119,23.68304523
A,55,55,10.34856943,46.39672119,22.30452748
B,54,54,41.82998155,12679.45611,0.329903595
A,54,54,19.2955507,12679.45611,0.15217964
C,53,53,5.269686787,12.43695557,42.37119573
B,53,53,4.325467445,12.43695557,34.7791501
A,53,53,8.043123516,12.43695557,64.67116065
C,52,52,2.125565735,5.941969271,35.77207552
B,52,52,3.309971005,5.941969271,55.70494989
A,52,52,3.56247931,5.941969271,59.95452262
C,51,51,1.529504037,4.778070484,32.01091407
B,51,51,1.93430808,4.778070484,40.4830378
A,51,51,3.032733849,4.778070484,63.47193619
C,50,50,22.46608257,NA,NA
B,50,50,31.03240636,NA,NA
A,50,50,29.64908855,NA,NA
C,49,49,18.91019554,89.31421929,21.17265951
B,49,49,24.17050185,89.31421929,27.06232226
A,49,49,23.79157633,89.31421929,26.63806113
C,41,41,2.337164561,NA,NA
B,41,41,2.770944435,NA,NA
A,41,41,3.672010423,NA,NA
