"","collection_num","date"
"1","5",2020-06-16
"2","6",2020-06-23
"3","7",2020-06-30
"4","8",2020-07-07
"5","9",2020-07-14
"6","10",2020-07-21
"7","11",2020-07-28
"8","12",2020-08-04
"9","13",2020-08-11
"10","14",2020-08-18
"11","15",2020-08-25
"12","16",2020-09-01
"13","17",2020-09-08
"14","18",2020-09-15
"15","19",2020-09-22
"16","20",2020-09-29
"17","21",2020-10-06
"18","22",2020-10-13
"19","23",2020-10-20
"20","24",2020-10-27
"21","25",2020-11-02
"22","26",2020-11-04
"23","27",2020-11-09
"24","28",2020-11-11
"25","29",2020-11-16
"26","30",2020-11-18
"27","31",2020-11-23
"28","32",2020-11-25
"29","33",2020-11-30
"30","34",2020-12-02
"31","35",2020-12-07
"32","36",2020-12-09
"33","37",2020-12-14
"34","38",2020-12-16
"35","39",2020-12-21
"36","40",2020-12-23
"37","41",2020-12-28
"38","42",2021-01-04
"39","43",2021-01-11
"40","44",2021-01-13
"41","45",2021-01-19
"42","46",2021-01-20
"43","47",2021-01-25
"44","48",2021-01-27
"45","49",2021-02-01
"46","50",2021-02-03
"47","51",2021-02-08
"48","52",2021-02-10
"49","53",2021-02-15
"50","54",2021-02-17
"51","55",2021-02-22
"52","56",2021-02-24
"53","57",2021-03-01
"54","58",2021-03-03
"55","59",2021-03-08
"56","60",2021-03-10
"57","61",2021-03-15
"58","62",2021-03-17
"59","63",2021-03-22
"60","64",2021-03-24
"61","65",2021-03-29
"62","66",2021-03-31
"63","67",2021-04-05
"64","68",2021-04-07
"65","69",2021-04-12
"66","70",2021-04-14
"67","71",2021-04-19
"68","72",2021-04-21
"69","73",2021-04-26
"70","74",2021-04-28
"71","75",2021-05-03
"72","76",2021-05-05
"73","77",2021-05-10
"74","78",2021-05-12
"75","79",2021-05-17
"76","80",2021-05-19
"77","81",2021-05-24
"78","82",2021-05-26
"79","83",2021-06-01
"80","84",2021-06-02
"81","85",2021-06-07
"82","86",2021-06-09
"83","87",2021-06-14
"84","88",2021-06-16
"85","89",2021-06-21
"86","90",2021-06-23
"87","91",2021-06-28
"88","92",2021-06-30
"89","93",2021-07-06
"90","94",2021-07-06
"91","95",2021-07-12
"92","96",2021-07-14
"93","97",2021-07-19
"94","98",2021-07-21
"95","99",2021-07-26
"96","100",2021-07-28
"97","101",2021-08-02
"98","102",2021-08-04
"99","103",2021-08-09
"100","104",2021-08-11
"101","105",2021-08-16
"102","106",2021-08-18
"103","107",2021-08-23
"104","108",2021-08-25
"105","109",2021-08-30
"106","110",2021-09-01
