sample_name,ct,sample_type
H20_24_RNA,15.21459484,control
H20_24_RNA,15.31756592,control
H20_24_RNA,15.16242981,control
H20_24_RNA,15.32097054,control
H20_24_RNA,15.25038338,control
H20_24_RNA,15.16377258,control
H20_24_RNA,15.40512276,control
H20_24_RNA,15.18865108,control
H20_24_RNA,15.34207916,control
H20_22_RNA,18.00486183,control
H20_22_RNA,17.36779404,control
H20_22_RNA,16.78501511,control
H20_21_RNA,17.28909492,control
H20_21_RNA,17.31886101,control
H20_21_RNA,17.36382675,control
H20_20_RNA,17.78121185,control
H20_20_RNA,17.51634026,control
H20_20_RNA,17.72773361,control
H20_19_RNA,19.28124619,control
H20_19_RNA,18.97750854,control
H20_19_RNA,18.70257759,control
H20_18_RNA,18.90752029,control
H20_18_RNA,16.93559647,control
H20_18_RNA,16.86707878,control
H20_17_RNA,18.97955513,control
H20_17_RNA,18.84628296,control
H20_17_RNA,18.7903595,control
H20_16_RNA,19.97159958,control
H20_16_RNA,19.94987869,control
H20_16_RNA,19.97434807,control
H20_14_RNA,17.72150803,control
H20_14_RNA,17.74827003,control
H20_14_RNA,17.82961845,control
H20_25_RNA,16.6405201,control
H20_25_RNA,16.52043915,control
H20_25_RNA,16.50966072,control
H20_26_RNA,16.64326477,control
H20_26_RNA,16.74082565,control
H20_26_RNA,16.68418121,control
H20_29_RNA,17.45911217,control
H20_29_RNA,17.34808922,control
H20_29_RNA,17.69884491,control
H20_30_RNA,16.99648857,control
H20_30_RNA,16.89538574,control
H20_30_RNA,16.90352058,control
H20_31_RNA,16.62679672,control
H20_31_RNA,16.7645359,control
H20_31_RNA,16.61665916,control
H20_27_RNA,16.84738922,control
H20_27_RNA,16.77756882,control
H20_27_RNA,16.72825623,control
H20_32_RNA,16.29606056,control
H20_32_RNA,16.24825287,control
H20_32_RNA,16.2681179,control
H20_33_RNA,16.59445572,control
H20_33_RNA,16.52729797,control
H20_33_RNA,16.48933029,control
H20_34_RNA,16.77945328,control
H20_34_RNA,16.72952652,control
H20_34_RNA,16.48925591,control
H20_35_RNA,17.13726616,control
H20_35_RNA,17.13622093,control
H20_35_RNA,17.14698792,control
H20_36_RNA,17.24748421,control
H20_36_RNA,17.32050323,control
H20_36_RNA,17.0586834,control
H20_37_RNA,16.77578163,control
H20_37_RNA,16.9954319,control
H20_37_RNA,16.84170532,control
H20_38_RNA,16.85142326,control
H20_38_RNA,16.87011147,control
H20_38_RNA,16.70330429,control
H20_39_RNA,17.23454857,control
H20_39_RNA,17.100214,control
H20_39_RNA,17.26961327,control
H20_48_RNA,19.51288414,control
H20_48_RNA,19.26051331,control
H20_48_RNA,19.40660858,control
H20_49_RNA,17.02137375,control
H20_49_RNA,15.95123291,control
H20_49_RNA,15.85125256,control
H20_50_RNA,16.10778809,control
H20_50_RNA,17.98019028,control
H20_50_RNA,15.41731739,control
