sample_name,ct,sample_type
65,65,sample
76,76,sample
81,81,sample
82,,sample
83,,sample
84,,sample
85,,sample
86,,sample
CC_20_RNA,18.97109413,sample
CC_20_RNA,18.85464096,sample
CC_20_RNA,18.84630394,sample
CC_21_RNA,18.68956757,sample
CC_21_RNA,18.65177345,sample
CC_21_RNA,18.30583382,sample
CC_22_RNA,17.67808533,sample
CC_22_RNA,17.03085518,sample
CC_22_RNA,16.79285812,sample
CC_24_RNA,16.07265854,sample
CC_24_RNA,16.08765411,sample
CC_24_RNA,15.89044666,sample
CC_25_RNA,16.71447945,sample
CC_25_RNA,16.65117455,sample
CC_25_RNA,16.67101669,sample
CC_26_RNA,16.90859222,sample
CC_26_RNA,16.80409813,sample
CC_26_RNA,16.7656498,sample
CC_27_RNA,17.55912018,sample
CC_27_RNA,17.58571053,sample
CC_27_RNA,17.60271454,sample
CC_28_RNA,17.55498314,sample
CC_28_RNA,17.68729591,sample
CC_28_RNA,17.74382401,sample
CC_29_RNA,18.59091377,sample
CC_29_RNA,18.46698761,sample
CC_29_RNA,18.32055855,sample
CC_30_RNA,17.94425201,sample
CC_30_RNA,18.02124977,sample
CC_30_RNA,17.94753456,sample
CC_31_RNA,16.97532845,sample
CC_31_RNA,17.0678196,sample
CC_31_RNA,16.97799873,sample
CC_32_RNA,16.66677284,sample
CC_32_RNA,16.5176754,sample
CC_32_RNA,16.54585648,sample
CC_33_RNA,16.90531158,sample
CC_33_RNA,16.94491577,sample
CC_33_RNA,16.76279068,sample
CC_34_RNA,16.89594269,sample
CC_34_RNA,16.95344543,sample
CC_34_RNA,16.95238113,sample
CC_35_RNA,17.53121758,sample
CC_35_RNA,17.38751221,sample
CC_35_RNA,17.40292358,sample
CC_36_RNA,17.20483017,sample
CC_36_RNA,17.20925331,sample
CC_36_RNA,17.09004211,sample
CC_37_RNA,17.32523918,sample
CC_37_RNA,17.16722107,sample
CC_37_RNA,17.1517334,sample
CC_38_RNA,17.04603195,sample
CC_38_RNA,17.05800056,sample
CC_38_RNA,16.90871239,sample
CC_39_RNA,17.2859726,sample
CC_39_RNA,17.11922646,sample
CC_39_RNA,17.07701492,sample
CC_48_RNA,19.82892799,sample
CC_48_RNA,19.62037277,sample
CC_48_RNA,19.54585266,sample
CC_49_RNA,15.70884895,sample
CC_49_RNA,15.03104591,sample
CC_49_RNA,15.26271248,sample
CC_50_RNA,16.12864304,sample
CC_50_RNA,15.82357788,sample
CC_50_RNA,15.49989128,sample
CC_51_RNA,18.00853539,sample
CC_51_RNA,16.15417671,sample
CC_51_RNA,14.75092506,sample
CC_52_RNA,18.95405769,sample
CC_52_RNA,18.75935936,sample
CC_52_RNA,15.39111042,sample
CC_53_RNA,16.00193214,sample
CC_53_RNA,15.98230839,sample
CC_53_RNA,17.9178772,sample
CC_54_RNA,13.8809557,sample
CC_54_RNA,13.8809557,sample
CC_54_RNA,13.8809557,sample
CC_55_RNA,15.5434885,sample
CC_55_RNA,15.40382576,sample
CC_55_RNA,14.69068718,sample
CC_56_RNA,15.47428989,sample
CC_56_RNA,13.85792637,sample
CC_56_RNA,13.97213364,sample
CC_57_RNA,15.20995426,sample
CC_57_RNA,15.51745319,sample
CC_57_RNA,14.16855526,sample
CC_58_RNA,19.572052,sample
CC_58_RNA,18.73328781,sample
CC_58_RNA,18.25899887,sample
CC_59_RNA,19.89932442,sample
CC_59_RNA,18.86821938,sample
CC_59_RNA,16.00162315,sample
CC_60_RNA,17.49175644,sample
CC_60_RNA,16.06064796,sample
CC_60_RNA,17.47543335,sample
CC_61_RNA,17.86326599,sample
CC_61_RNA,17.87386894,sample
CC_61_RNA,16.13039589,sample
CC_61_RNA,19.63705826,sample
CC_61_RNA,17.70541573,sample
CC_61_RNA,19.55909729,sample
CC_63_RNA,19.34984398,sample
CC_63_RNA,17.6091938,sample
CC_63_RNA,19.16673851,sample
CC_64_RNA,19.5728035,sample
CC_64_RNA,19.38283157,sample
CC_64_RNA,19.41844559,sample
CC_66_RNA,15.8360405,sample
CC_66_RNA,15.35776234,sample
