collection_num,target,ct,quantity,log_quant
10,N2,22.5967598,4000,3.602059991
10,N2,22.51508713,4000,3.602059991
10,N2,22.55184174,4000,3.602059991
11,N2,21.09778214,4000,3.602059991
11,N2,21.00032043,4000,3.602059991
11,N2,21.16909409,4000,3.602059991
12,N2,20.71120262,4000,3.602059991
12,N2,20.58838081,4000,3.602059991
12,N2,20.58208847,4000,3.602059991
13,N2,24.41595459,4000,3.602059991
13,N2,23.31852913,4000,3.602059991
13,N2,20.59871674,4000,3.602059991
14,N2,22.88592529,4000,3.602059991
14,N2,22.60756874,4000,3.602059991
14,N2,22.75208282,4000,3.602059991
15,N2,26.11258888,4000,3.602059991
15,N2,25.87444305,4000,3.602059991
15,N2,26.12845421,4000,3.602059991
16,N2,22.83695793,4000,3.602059991
16,N2,22.55588531,4000,3.602059991
16,N2,22.8662014,4000,3.602059991
17,N2,21.36303139,4000,3.602059991
17,N2,20.94091225,4000,3.602059991
17,N2,20.94173622,4000,3.602059991
18,N2,21.02223015,4000,3.602059991
18,N2,21.12361717,4000,3.602059991
18,N2,21.61143875,4000,3.602059991
19,N2,21.60868263,4000,3.602059991
19,N2,21.60868263,4000,3.602059991
19,N2,21.60868263,4000,3.602059991
20,N2,22.317379,4000,3.602059991
20,N2,22.11098862,4000,3.602059991
20,N2,22.02502823,4000,3.602059991
21,N2,22.15341949,4000,3.602059991
21,N2,22.14014244,4000,3.602059991
21,N2,22.13188553,4000,3.602059991
22,N2,20.97633362,4000,3.602059991
22,N2,20.95238304,4000,3.602059991
22,N2,20.96714211,4000,3.602059991
23,N2,22.8857975,4000,3.602059991
23,N2,22.75893211,4000,3.602059991
23,N2,22.89428329,4000,3.602059991
24,N2,20.46656609,4000,3.602059991
24,N2,20.3965683,4000,3.602059991
24,N2,20.38187599,4000,3.602059991
25,N2,21.91956329,4000,3.602059991
25,N2,21.91331863,4000,3.602059991
25,N2,21.93860245,4000,3.602059991
26,N2,22.44945145,4000,3.602059991
26,N2,22.37545967,4000,3.602059991
26,N2,22.43440247,4000,3.602059991
27,N2,22.87471771,4000,3.602059991
27,N2,22.82250977,4000,3.602059991
27,N2,22.92343712,4000,3.602059991
28,N2,22.87471771,4000,3.602059991
28,N2,22.82250977,4000,3.602059991
28,N2,22.92343712,4000,3.602059991
29,N2,25.14290428,4000,3.602059991
29,N2,25.15670586,4000,3.602059991
29,N2,25.14249039,4000,3.602059991
30,N2,21.58122826,4000,3.602059991
30,N2,21.49423981,4000,3.602059991
30,N2,21.37595749,4000,3.602059991
31,N2,20.8050499,4000,3.602059991
31,N2,20.58784866,4000,3.602059991
31,N2,20.60695648,4000,3.602059991
32,N2,21.8604908,4000,3.602059991
32,N2,22.12353897,4000,3.602059991
32,N2,21.94148445,4000,3.602059991
33,N2,20.3993721,4000,3.602059991
33,N2,20.3876152,4000,3.602059991
33,N2,20.43256378,4000,3.602059991
34,N2,20.87915611,4000,3.602059991
34,N2,20.9336071,4000,3.602059991
34,N2,20.98615074,4000,3.602059991
35,N2,20.7370224,4000,3.602059991
35,N2,20.59671783,4000,3.602059991
35,N2,20.50485229,4000,3.602059991
36,N2,20.08707809,4000,3.602059991
36,N2,19.98120689,4000,3.602059991
36,N2,20.10599327,4000,3.602059991
37,N2,20.29769516,4000,3.602059991
37,N2,20.28416634,4000,3.602059991
37,N2,20.42028046,4000,3.602059991
10,N2,26.26245117,400,2.602059991
10,N2,26.44232559,400,2.602059991
10,N2,26.25423622,400,2.602059991
11,N2,24.56872368,400,2.602059991
11,N2,24.71858406,400,2.602059991
11,N2,24.53976059,400,2.602059991
12,N2,24.64663124,400,2.602059991
12,N2,24.50213051,400,2.602059991
12,N2,24.53764534,400,2.602059991
13,N2,25.6400032,400,2.602059991
13,N2,25.43497276,400,2.602059991
13,N2,25.61417198,400,2.602059991
14,N2,26.96196365,400,2.602059991
14,N2,26.86883354,400,2.602059991
14,N2,27.02866173,400,2.602059991
15,N2,28.41205597,400,2.602059991
15,N2,28.7736454,400,2.602059991
15,N2,28.95523834,400,2.602059991
16,N2,26.08926392,400,2.602059991
16,N2,25.88049316,400,2.602059991
16,N2,26.41822624,400,2.602059991
17,N2,24.71797371,400,2.602059991
17,N2,24.59856415,400,2.602059991
17,N2,24.8948555,400,2.602059991
18,N2,26.95106316,400,2.602059991
18,N2,26.79942131,400,2.602059991
18,N2,26.93343925,400,2.602059991
19,N2,24.83615685,400,2.602059991
19,N2,24.83615685,400,2.602059991
