collection_num,sample_id,target,POS_NEG
93,NO_93_A,N1,neg
93,NO_93_A,N1,neg
93,NO_93_A,N1,neg
93,MI_93_A,N1,pos
93,MI_93_A,N1,neg
93,MI_93_A,N1,neg
93,NO_93_B,N1,neg
93,NO_93_B,N1,neg
93,NO_93_B,N1,neg
93,MI_93_B,N1,neg
93,MI_93_B,N1,neg
93,MI_93_B,N1,pos
93,NO_93_C,N1,pos
93,NO_93_C,N1,neg
93,NO_93_C,N1,neg
93,MI_93_C,N1,neg
93,MI_93_C,N1,neg
93,MI_93_C,N1,neg
93,CC_93_A,N1,pos
93,CC_93_A,N1,pos
93,CC_93_A,N1,pos
93,CC_93_B,N1,neg
93,CC_93_B,N1,neg
93,CC_93_B,N1,pos
93,CC_93_C,N1,neg
93,CC_93_C,N1,neg
93,CC_93_C,N1,neg
95,NO_95_A,N1,neg
95,NO_95_A,N1,pos
95,NO_95_A,N1,pos
95,MI_95_A,N1,pos
95,MI_95_A,N1,pos
95,MI_95_A,N1,neg
95,CC_95_A,N1,neg
95,CC_95_A,N1,pos
95,CC_95_A,N1,neg
95,NO_95_B,N1,pos
95,NO_95_B,N1,pos
95,NO_95_B,N1,pos
95,MI_95_B,N1,pos
95,MI_95_B,N1,neg
95,MI_95_B,N1,neg
95,CC_95_B,N1,neg
95,CC_95_B,N1,neg
95,CC_95_B,N1,neg
95,NO_95_C,N1,neg
95,NO_95_C,N1,pos
95,NO_95_C,N1,pos
95,MI_95_C,N1,neg
95,MI_95_C,N1,neg
95,MI_95_C,N1,neg
95,CC_95_C,N1,neg
95,CC_95_C,N1,neg
95,CC_95_C,N1,neg
95,NO_95_D,N1,pos
95,NO_95_D,N1,pos
95,NO_95_D,N1,pos
95,MI_95_D,N1,neg
95,MI_95_D,N1,neg
95,MI_95_D,N1,neg
95,CC_95_D,N1,neg
95,CC_95_D,N1,neg
95,CC_95_D,N1,neg
95,NO_95_E,N1,pos
95,NO_95_E,N1,neg
95,NO_95_E,N1,pos
95,MI_95_E,N1,neg
95,MI_95_E,N1,neg
95,MI_95_E,N1,neg
95,CC_95_E,N1,neg
95,CC_95_E,N1,pos
95,CC_95_E,N1,neg
95,NO_95_F,N1,neg
95,NO_95_F,N1,neg
95,NO_95_F,N1,pos
95,MI_95_F,N1,neg
95,MI_95_F,N1,neg
