sample_date,collection_num,target,sample_id,ct,pos_neg,copy_num_uL_rxn
6-Jul-21,93,N1,NO_93_A,40,neg,0.004
6-Jul-21,93,N1,NO_93_A,40,neg,0.004
6-Jul-21,93,N1,NO_93_A,40,neg,0.004
6-Jul-21,93,N1,MI_93_A,40,neg,0.004
6-Jul-21,93,N1,MI_93_A,40,neg,0.004
6-Jul-21,93,N1,NO_93_B,40,neg,0.004
6-Jul-21,93,N1,NO_93_B,40,neg,0.004
6-Jul-21,93,N1,NO_93_B,40,neg,0.004
6-Jul-21,93,N1,MI_93_B,40,neg,0.004
6-Jul-21,93,N1,MI_93_B,40,neg,0.004
6-Jul-21,93,N1,NO_93_C,40,neg,0.004
6-Jul-21,93,N1,NO_93_C,40,neg,0.004
6-Jul-21,93,N1,MI_93_C,40,neg,0.004
6-Jul-21,93,N1,MI_93_C,40,neg,0.004
6-Jul-21,93,N1,MI_93_C,40,neg,0.004
6-Jul-21,93,N1,CC_93_B,40,neg,0.004
6-Jul-21,93,N1,CC_93_B,40,neg,0.004
6-Jul-21,93,N1,CC_93_C,40,neg,0.004
6-Jul-21,93,N1,CC_93_C,40,neg,0.004
6-Jul-21,93,N1,CC_93_C,40,neg,0.004
6-Jul-21,93,N2,NO_93_A,40,neg,0.004
6-Jul-21,93,N2,NO_93_A,40,neg,0.004
6-Jul-21,93,N2,NO_93_A,40,neg,0.004
6-Jul-21,93,N2,MI_93_A,40,neg,0.004
6-Jul-21,93,N2,MI_93_A,40,neg,0.004
6-Jul-21,93,N2,MI_93_A,40,neg,0.004
6-Jul-21,93,N2,NO_93_B,40,neg,0.004
6-Jul-21,93,N2,NO_93_B,40,neg,0.004
6-Jul-21,93,N2,NO_93_B,40,neg,0.004
6-Jul-21,93,N2,MI_93_B,40,neg,0.004
6-Jul-21,93,N2,MI_93_B,40,neg,0.004
6-Jul-21,93,N2,MI_93_B,40,neg,0.004
6-Jul-21,93,N2,NO_93_C,40,neg,0.004
6-Jul-21,93,N2,NO_93_C,40,neg,0.004
6-Jul-21,93,N2,NO_93_C,40,neg,0.004
6-Jul-21,93,N2,MI_93_C,40,neg,0.004
6-Jul-21,93,N2,MI_93_C,40,neg,0.004
6-Jul-21,93,N2,MI_93_C,40,neg,0.004
6-Jul-21,93,N2,CC_93_A,40,neg,0.004
6-Jul-21,93,N2,CC_93_A,40,neg,0.004
6-Jul-21,93,N2,CC_93_A,40,neg,0.004
6-Jul-21,93,N2,CC_93_B,40,neg,0.004
6-Jul-21,93,N2,CC_93_B,40,neg,0.004
6-Jul-21,93,N2,CC_93_B,40,neg,0.004
6-Jul-21,93,N2,CC_93_C,40,neg,0.004
6-Jul-21,93,N2,CC_93_C,39.63,pos,0.260484681
6-Jul-21,93,N2,CC_93_C,39.4,pos,0.306577679
6-Jul-21,93,N1,CC_93_B,38.49,pos,0.203007183
6-Jul-21,93,N1,CC_93_A,38.48,pos,0.204335972
6-Jul-21,93,N1,MI_93_A,38.42,pos,0.212493361
6-Jul-21,93,N1,NO_93_C,38.33,pos,0.22534409
6-Jul-21,93,N1,MI_93_B,38.29,pos,0.231302254
6-Jul-21,93,N1,CC_93_A,37.21,pos,0.467939338
6-Jul-21,93,N1,CC_93_A,36.16,pos,0.928322715
