sample,target,copies_ul_rxn,copies_ul_sample,ave_copies_sample
CENTRIPREP_A,BCoV,1686.666667,5.02E+02,4.34E+02
CENTRIPREP_B,BCoV,1226.666667,3.65E+02,
CG,BCoV,323666.6667,3.24E+04,3.24E+04
DIRECT_A,BCoV,714,1.28E+03,1.59E+03
DIRECT_B,BCoV,1056.666667,1.89E+03,
DIRECT_C,BCoV,893,1.59E+03,
HA_A,BCoV,545,5.45E+00,5.37E+00
HA_B,BCoV,528.3333333,5.28E+00,
SKIM_MILK_A,BCoV,480.3333333,4.80E+00,6.46E+00
SKIM_MILK_B,BCoV,811.3333333,8.11E+00,
ZYMO_CON_B,BCoV,16266.66667,1.36E+02,1.18E+02
ZYMO_CONC_A,BCoV,12100,1.01E+02,
ZYMO_DIRECT_A,BCoV,821.6666667,4.11E+02,3.94E+02
ZYMO_DIRECT_B,BCoV,755.3333333,3.78E+02,
