date,new_cases_clarke,cases_cum_clarke,7_day_ave_clarke
3/15/2020,3,3,0
3/16/2020,1,4,1
3/17/2020,2,6,1
3/18/2020,4,10,1
3/19/2020,3,13,2
3/20/2020,1,14,2
3/21/2020,1,15,2
3/22/2020,2,17,2
3/23/2020,5,22,3
3/24/2020,2,24,3
3/25/2020,3,27,2
3/26/2020,6,33,3
3/27/2020,5,38,3
3/28/2020,1,39,3
3/29/2020,1,40,3
3/30/2020,8,48,4
3/31/2020,4,52,4
4/1/2020,4,56,4
4/2/2020,2,58,4
4/3/2020,2,60,3
4/4/2020,1,61,3
4/5/2020,3,64,3
4/6/2020,9,73,4
4/7/2020,5,78,4
4/8/2020,6,84,4
4/9/2020,2,86,4
4/10/2020,0,86,4
4/11/2020,2,88,4
4/12/2020,0,88,3
4/13/2020,3,91,3
4/14/2020,4,95,2
4/15/2020,6,101,2
4/16/2020,0,101,2
4/17/2020,5,106,3
4/18/2020,0,106,3
4/19/2020,3,109,3
4/20/2020,5,114,3
4/21/2020,1,115,3
4/22/2020,1,116,2
4/23/2020,6,122,3
4/24/2020,3,125,3
4/25/2020,1,126,3
4/26/2020,0,126,2
4/27/2020,17,143,4
4/28/2020,3,146,4
4/29/2020,2,148,5
4/30/2020,3,151,4
5/1/2020,5,156,4
5/2/2020,0,156,4
5/3/2020,0,156,4
5/4/2020,5,161,3
5/5/2020,4,165,3
5/6/2020,9,174,4
5/7/2020,3,177,4
5/8/2020,1,178,3
5/9/2020,1,179,3
5/10/2020,4,183,4
5/11/2020,7,190,4
5/12/2020,1,191,4
5/13/2020,0,191,2
5/14/2020,3,194,2
5/15/2020,4,198,3
5/16/2020,0,198,3
5/17/2020,1,199,2
5/18/2020,4,203,2
5/19/2020,3,206,2
5/20/2020,0,206,2
5/21/2020,3,209,2
5/22/2020,14,223,4
5/23/2020,11,234,5
5/24/2020,5,239,6
5/25/2020,4,243,6
5/26/2020,1,244,5
5/27/2020,17,261,8
5/28/2020,14,275,9
5/29/2020,7,282,8
5/30/2020,8,290,8
5/31/2020,2,292,8
6/1/2020,5,297,8
6/2/2020,6,303,8
6/3/2020,4,307,7
6/4/2020,3,310,5
6/5/2020,9,319,5
6/6/2020,5,324,5
6/7/2020,4,328,5
6/8/2020,3,331,5
6/9/2020,3,334,4
6/10/2020,4,338,4
6/11/2020,1,339,4
6/12/2020,7,346,4
6/13/2020,6,352,4
6/14/2020,3,355,4
6/15/2020,3,358,4
6/16/2020,6,364,4
