sample_id,target,ct
NO_7_C,N2,34.30711365
NO_7_C,N2,35.09724426
MI_7_C,N2,35.98116302
NO_7_A,N2,37.00187302
NO_7_C,N2,37.04083633
NO_7_A,N2,37.07103348
MI_7_C,N2,39.0252533
MI_7_C,N2,40
NO_7_C,N2,40
NO_7_C,N2,40
NO_7_C,N2,40
NO_7_C,N2,40
NO_7_C,N2,40
NO_7_A,N2,40
NO_7_A,N2,40
MI_7_A,N2,40
MI_7_A,N2,40
MI_7_A,N2,40
MI_7_C,N2,40
MI_7_C,N2,40
MI_7_C,N2,40
NO_7_A,N2,40
NO_7_A,N2,40
MI_7_B,N2,40
MI_7_B,N2,40
MI_7_B,N2,40
NO_7_C,N2,40
NO_7_B,N2,40
NO_7_B,N2,40
NO_7_B,N2,40
CC_7_C,N2,40
CC_7_C,N2,40
CC_7_C,N2,40
CC_8_B,N2,36.17324066
NO_8_A,N2,36.68797684
CC_8_A,N2,36.71866608
NO_8_A,N2,36.96909332
NO_8_A,N2,40
NO_8_A,N2,40
MI_8_B,N2,40
MI_8_B,N2,40
MI_8_B,N2,40
MI_8_A,N2,40
MI_8_A,N2,40
MI_8_A,N2,40
NO_8_A,N2,40
NO_8_A,N2,40
NO_8_B,N2,40
NO_8_B,N2,40
NO_8_B,N2,40
CC_8_A,N2,40
CC_8_A,N2,40
CC_8_B,N2,40
CC_8_B,N2,40
NO_9_B,N2,34.7583313
MI_9_A,N2,35.49347305
MI_9_A,N2,35.52126694
NO_9_A,N2,36.43680573
NO_9_A,N2,36.75882721
NO_9_A,N2,36.85206604
NO_9_A,N2,40
MI_9_B,N2,40
MI_9_B,N2,40
MI_9_B,N2,40
MI_9_A,N2,40
NO_9_A,N2,40
NO_9_A,N2,40
NO_9_B,N2,40
NO_9_B,N2,40
MI_10_B,N2,34.18562698
MI_10_B,N2,34.27371979
MI_10_A,N2,34.80694962
MI_10_A,N2,35.96951675
NO_10_B,N2,36.11449814
NO_10_B,N2,36.29841232
MI_10_A,N2,36.36291885
CC_10_A,N2,36.97867584
NO_10_A,N2,37.08953857
CC_10_A,N2,37.77200699
MI_10_B,N2,40
NO_10_A,N2,40
NO_10_A,N2,40
NO_10_B,N2,40
CC_10_A,N2,40
CC_10_B,N2,40
CC_10_B,N2,40
CC_10_B,N2,40
NO_11_B,N2,35.31305313
CC_11_B,N2,35.82485199
MI_11_B,N2,35.82836914
NO_11_B,N2,35.83443069
MI_11_B,N2,35.88684082
MI_11_B,N2,35.91749573
NO_11_A,N2,36.38441467
MI_11_A,N2,40
MI_11_A,N2,40
MI_11_A,N2,40
NO_11_A,N2,40
NO_11_A,N2,40
NO_11_B,N2,40
CC_11_A,N2,40
CC_11_A,N2,40
CC_11_A,N2,40
CC_11_B,N2,40
CC_11_B,N2,40
NO_12_B,N2,37.08876419
MI_12_A,N2,40
MI_12_A,N2,40
MI_12_A,N2,40
MI_12_B,N2,40
MI_12_B,N2,40
MI_12_B,N2,40
NO_12_A,N2,40
NO_12_A,N2,40
NO_12_A,N2,40
NO_12_B,N2,40
NO_12_B,N2,40
CC_12_A,N2,40
CC_12_A,N2,40
CC_12_A,N2,40
CC_12_B,N2,40
CC_12_B,N2,40
CC_12_B,N2,40
NO_13_B,N2,36.81105423
MI_13_A,N2,40
MI_13_A,N2,40
MI_13_A,N2,40
MI_13_B,N2,40
MI_13_B,N2,40
MI_13_B,N2,40
NO_13_A,N2,40
NO_13_A,N2,40
NO_13_A,N2,40
NO_13_B,N2,40
NO_13_B,N2,40
CC_13_A,N2,40
CC_13_A,N2,40
CC_13_A,N2,40
CC_13_B,N2,40
CC_13_B,N2,40
CC_13_B,N2,40
CC_14_B,N2,35.65394592
CC_14_A,N2,35.85482407
CC_14_B,N2,35.86466217
CC_14_B,N2,35.92063141
MI_14_A,N2,36.07876205
NO_14_B,N2,36.95197678
MI_14_B,N2,36.97154236
NO_14_B,N2,36.97654343
NO_14_A,N2,37.00615311
MI_14_B,N2,37.01802826
NO_14_A,N2,40
NO_14_A,N2,40
NO_14_B,N2,40
MI_14_A,N2,40
MI_14_A,N2,40
MI_14_B,N2,40
CC_14_A,N2,40
CC_14_A,N2,40
NO_15_A,N2,36.51285553
MI_15_B,N2,37.00814438
CC_15_B,N2,37.05305862
MI_15_A,N2,40
MI_15_A,N2,40
MI_15_A,N2,40
MI_15_B,N2,40
MI_15_B,N2,40
NO_15_A,N2,40
NO_15_A,N2,40
NO_15_B,N2,40
NO_15_B,N2,40
NO_15_B,N2,40
CC_15_A,N2,40
CC_15_A,N2,40
CC_15_A,N2,40
CC_15_B,N2,40
CC_15_B,N2,40
NO_16_B,N2,34.3060379
NO_16_A,N2,35.01486206
MI_16_B,N2,35.54123688
CC_16_B,N2,35.66923141
CC_16_A,N2,35.86688995
MI_16_A,N2,35.99620819
NO_16_B,N2,36.29591751
NO_16_A,N2,36.31856155
