run_num,run_date,collection_date,sample_name,target_name,ct,slope,intercept,copies_ul_rxn
18,7/23/2020,7/21/2020,MI_10A_RNA,BCoV,15.71040344,-3.238,30.7,42586.9236
18,7/23/2020,7/21/2020,MI_10A_RNA,BCoV,15.59934616,-3.238,30.7,46086.56916
18,7/23/2020,7/21/2020,MI_10A_RNA,BCoV,15.53823185,-3.238,30.7,48133.61405
19,7/29/2020,7/28/2020,MI_11_RNA,BCoV,17.34796906,-3.7797,36.753,136148.7102
19,7/29/2020,7/28/2020,MI_11_RNA,BCoV,17.48716354,-3.7797,36.753,125079.6536
19,7/29/2020,7/28/2020,MI_11_RNA,BCoV,17.50790405,-3.7797,36.753,123509.2053
21,8/13/2020,8/11/2020,MI_13A_RNA,BCoV,17.76195145,-3.3159,34.795,137018.726
21,8/13/2020,8/11/2020,MI_13A_RNA,BCoV,17.66898727,-3.3159,34.795,146155.7159
21,8/13/2020,8/11/2020,MI_13A_RNA,BCoV,17.94397163,-3.3159,34.795,120749.8994
22,8/19/2020,8/18/2020,MI_14A_RNA,BCoV,17.85404968,-3.1634,32.95,59165.0134
22,8/19/2020,8/18/2020,MI_14A_RNA,BCoV,17.76989555,-3.1634,32.95,62902.42634
22,8/19/2020,8/18/2020,MI_14A_RNA,BCoV,17.8434906,-3.1634,32.95,59621.49442
23,8/26/2020,8/25/2020,MI_15A_RNA,BCoV,16.80418587,-3.5335,36.412,354094.8476
23,8/26/2020,8/25/2020,MI_15A_RNA,BCoV,16.88707352,-3.5335,36.412,335476.3777
23,8/26/2020,8/25/2020,MI_15A_RNA,BCoV,16.84793854,-3.5335,36.412,344141.748
17,7/20/2020,6/16/2029,MI_5A_RNA,BCoV,17.74263,-3.1035,33.9,160759.5921
17,7/20/2020,6/16/2029,MI_5A_RNA,BCoV,17.97329712,-3.1035,33.9,135472.7866
17,7/20/2020,6/16/2029,MI_5A_RNA,BCoV,17.70418549,-3.1035,33.9,165410.9924
17,7/20/2020,6/23/2020,MI_6A_RNA,BCoV,17.89074135,-3.1035,33.9,144029.9881
17,7/20/2020,6/23/2020,MI_6A_RNA,BCoV,17.98895264,-3.1035,33.9,133908.3296
17,7/20/2020,6/23/2020,MI_6A_RNA,BCoV,17.6842804,-3.1035,33.9,167871.9452
17,7/20/2020,6/30/2020,MI_7A_RNA,BCoV,18.00784683,-3.1035,33.9,132044.2713
17,7/20/2020,6/30/2020,MI_7A_RNA,BCoV,18.22913742,-3.1035,33.9,112051.0699
17,7/20/2020,6/30/2020,MI_7A_RNA,BCoV,17.94086075,-3.1035,33.9,138772.563
17,7/20/2020,7/7/2020,MI_8A_RNA,BCoV,17.71239662,-3.1035,33.9,164406.3551
17,7/20/2020,7/7/2020,MI_8A_RNA,BCoV,17.81298447,-3.1035,33.9,152583.4753
17,7/20/2020,7/7/2020,MI_8A_RNA,BCoV,17.69529915,-3.1035,33.9,166505.1593
17,7/20/2020,7/14/2020,MI_9A_RNA,BCoV,17.36588669,-3.1035,33.9,212603.2705
17,7/20/2020,7/14/2020,MI_9A_RNA,BCoV,17.499506,-3.1035,33.9,192537.5974
17,7/20/2020,7/14/2020,MI_9A_RNA,BCoV,17.50335884,-3.1035,33.9,191988.0054
18,7/23/2020,7/21/2020,NO_10A_RNA,BCoV,15.12359333,-3.238,30.7,64640.15194
18,7/23/2020,7/21/2020,NO_10A_RNA,BCoV,15.2684021,-3.238,30.7,58315.05614
18,7/23/2020,7/21/2020,NO_10A_RNA,BCoV,15.32299995,-3.238,30.7,56094.34742
19,7/29/2020,7/28/2020,NO_11A_RNA,BCoV,19.12493706,-3.7797,36.753,46118.89191
19,7/29/2020,7/28/2020,NO_11A_RNA,BCoV,18.19684982,-3.7797,36.753,81175.33231
19,7/29/2020,7/28/2020,NO_11A_RNA,BCoV,18.22581673,-3.7797,36.753,79755.43074
20,8/6/2020,8/4/2020,NO_12A_RNA,BCoV,18.65701103,-3.1634,32.95,32978.91635
20,8/6/2020,8/4/2020,NO_12A_RNA,BCoV,18.27960396,-3.1634,32.95,43405.0873
20,8/6/2020,8/4/2020,NO_12A_RNA,BCoV,18.23390388,-3.1634,32.95,44873.21011
21,8/13/2020,8/11/2020,NO_13A_RNA,BCoV,18.73234367,-3.3159,34.795,69844.41863
21,8/13/2020,8/11/2020,NO_13A_RNA,BCoV,18.35684395,-3.3159,34.795,90651.26751
21,8/13/2020,8/11/2020,NO_13A_RNA,BCoV,18.44526863,-3.3159,34.795,85252.47742
22,8/19/2020,8/18/2020,NO_14A_RNA,BCoV,17.5267601,-3.1634,32.95,75080.35206
22,8/19/2020,8/18/2020,NO_14A_RNA,BCoV,17.5110817,-3.1634,32.95,75942.08011
22,8/19/2020,8/18/2020,NO_14A_RNA,BCoV,17.56515503,-3.1634,32.95,73011.12927
23,8/26/2020,8/25/2020,NO_15A_RNA,BCoV,17.33098793,-3.5335,36.412,251206.988
23,8/26/2020,8/25/2020,NO_15A_RNA,BCoV,17.41316414,-3.5335,36.412,238108.7723
23,8/26/2020,8/25/2020,NO_15A_RNA,BCoV,17.53610802,-3.5335,36.412,219776.6756
17,7/20/2020,6/16/2029,NO_5A_RNA,BCoV,17.93624115,-3.1035,33.9,139249.0118
17,7/20/2020,6/16/2029,NO_5A_RNA,BCoV,17.98882103,-3.1035,33.9,133921.4055
17,7/20/2020,6/16/2029,NO_5A_RNA,BCoV,17.90794754,-3.1035,33.9,142203.0134
17,7/20/2020,6/16/2029,NO_5A_RNA,BCoV,17.61730003,-3.1035,33.9,176425.0805
17,7/20/2020,6/16/2029,NO_5A_RNA,BCoV,17.84126663,-3.1035,33.9,149415.1076
17,7/20/2020,6/16/2029,NO_5A_RNA,BCoV,17.71412849,-3.1035,33.9,164195.2399
18,7/23/2020,7/21/2020,NO_6A_RNA,BCoV,15.62943268,-3.238,30.7,45111.02356
18,7/23/2020,7/21/2020,NO_6A_RNA,BCoV,15.43562031,-3.238,30.7,51777.16434
18,7/23/2020,7/21/2020,NO_6A_RNA,BCoV,15.42532349,-3.238,30.7,52157.67888
17,7/20/2020,6/23/2020,NO_6A_RNA,BCoV,17.50809097,-3.1035,33.9,191315.133
17,7/20/2020,6/23/2020,NO_6A_RNA,BCoV,17.60732269,-3.1035,33.9,177735.9139
17,7/20/2020,6/23/2020,NO_6A_RNA,BCoV,17.58215714,-3.1035,33.9,181085.6175
22,8/19/2020,8/18/2020,RNA_14_H20,BCoV,17.72150803,-3.1634,32.95,65157.35538
