sample_id,target,ct,slope ,y-intercept,copy_num_uL_rxn
0/3,0/3,Undetermined,-3.389,34.008,0.0002
SL_K,N1,39.18611908,-3.389,34.008,0.029653812
SL_K,N2,36.99895859,-3.3084,32.416,0.041186109
SL_K,N2,36.85411453,-3.3084,32.416,0.045554518
SL_H,N2,36.25922012,-3.3084,32.416,0.068919923
SL_H,N2,36.2323761,-3.3084,32.416,0.070219653
SL_E,N1,37.07934952,-3.389,34.008,0.12408802
SL_H,N2,34.36336899,-3.3084,32.416,0.257861482
NO_44_A,N1,35.97633362,-3.389,34.008,0.262542301
MI_44_A,N1,35.93155289,-3.389,34.008,0.270652996
SL_E,N1,35.83930969,-3.389,34.008,0.288158378
NO_44_A,N1,35.64017868,-3.389,34.008,0.329905302
SL_K,N1,35.46146393,-3.389,34.008,0.372497246
MI_44_A,N1,34.99631882,-3.389,34.008,0.510945408
SL_H,N1,34.84130096,-3.389,34.008,0.567696183
SL_H,N1,33.89640045,-3.389,34.008,1.078772668
SL_H,N1,33.18828583,-3.389,34.008,1.745319497
NO_53_A,N1,Undetermined,-3.389,34.008,0.0002
NO_53_A,N1,Undetermined,-3.389,34.008,0.0002
NO_53_A,N1,Undetermined,-3.389,34.008,0.0002
MI_44_A,N1,Undetermined,-3.389,34.008,0.0002
MI_53_A,N1,Undetermined,-3.389,34.008,0.0002
MI_53_A,N1,Undetermined,-3.389,34.008,0.0002
MI_53_A,N1,Undetermined,-3.389,34.008,0.0002
CC_44_C,N1,Undetermined,-3.389,34.008,0.0002
CC_44_C,N1,Undetermined,-3.389,34.008,0.0002
CC_44_C,N1,Undetermined,-3.389,34.008,0.0002
CC_53_A,N1,Undetermined,-3.389,34.008,0.0002
CC_53_A,N1,Undetermined,-3.389,34.008,0.0002
CC_53_A,N1,Undetermined,-3.389,34.008,0.0002
NO_47_A,N1,Undetermined,-3.389,34.008,0.0002
NO_47_A,N1,Undetermined,-3.389,34.008,0.0002
NO_47_A,N1,Undetermined,-3.389,34.008,0.0002
SL_A,N1,Undetermined,-3.389,34.008,0.0002
SL_A,N1,Undetermined,-3.389,34.008,0.0002
SL_A,N1,Undetermined,-3.389,34.008,0.0002
MI_47_A,N1,Undetermined,-3.389,34.008,0.0002
MI_47_A,N1,Undetermined,-3.389,34.008,0.0002
MI_47_A,N1,Undetermined,-3.389,34.008,0.0002
SL_E,N1,Undetermined,-3.389,34.008,0.0002
CC_47_A,N1,Undetermined,-3.389,34.008,0.0002
CC_47_A,N1,Undetermined,-3.389,34.008,0.0002
CC_47_A,N1,Undetermined,-3.389,34.008,0.0002
SL_K,N1,Undetermined,-3.389,34.008,0.0002
NO_44_A,N2,Undetermined,-3.3084,32.416,0.0002
NO_44_A,N2,Undetermined,-3.3084,32.416,0.0002
NO_44_A,N2,Undetermined,-3.3084,32.416,0.0002
NO_53_A,N2,Undetermined,-3.3084,32.416,0.0002
NO_53_A,N2,Undetermined,-3.3084,32.416,0.0002
NO_53_A,N2,Undetermined,-3.3084,32.416,0.0002
MI_44_A,N2,Undetermined,-3.3084,32.416,0.0002
MI_44_A,N2,Undetermined,-3.3084,32.416,0.0002
MI_44_A,N2,Undetermined,-3.3084,32.416,0.0002
MI_53_A,N2,Undetermined,-3.3084,32.416,0.0002
MI_53_A,N2,Undetermined,-3.3084,32.416,0.0002
MI_53_A,N2,Undetermined,-3.3084,32.416,0.0002
CC_44_C,N2,Undetermined,-3.3084,32.416,0.0002
CC_44_C,N2,Undetermined,-3.3084,32.416,0.0002
CC_44_C,N2,Undetermined,-3.3084,32.416,0.0002
CC_53_A,N2,Undetermined,-3.3084,32.416,0.0002
CC_53_A,N2,Undetermined,-3.3084,32.416,0.0002
CC_53_A,N2,Undetermined,-3.3084,32.416,0.0002
NO_47_A,N2,Undetermined,-3.3084,32.416,0.0002
NO_47_A,N2,Undetermined,-3.3084,32.416,0.0002
NO_47_A,N2,Undetermined,-3.3084,32.416,0.0002
SL_A,N2,Undetermined,-3.3084,32.416,0.0002
SL_A,N2,Undetermined,-3.3084,32.416,0.0002
SL_A,N2,Undetermined,-3.3084,32.416,0.0002
MI_47_A,N2,Undetermined,-3.3084,32.416,0.0002
MI_47_A,N2,Undetermined,-3.3084,32.416,0.0002
MI_47_A,N2,Undetermined,-3.3084,32.416,0.0002
SL_E,N2,Undetermined,-3.3084,32.416,0.0002
SL_E,N2,Undetermined,-3.3084,32.416,0.0002
SL_E,N2,Undetermined,-3.3084,32.416,0.0002
CC_47_A,N2,Undetermined,-3.3084,32.416,0.0002
CC_47_A,N2,Undetermined,-3.3084,32.416,0.0002
CC_47_A,N2,Undetermined,-3.3084,32.416,0.0002
SL_K,N2,Undetermined,-3.3084,32.416,0.0002
