date,wrf,influent_flow_mg,influent_tss_mg_l
7/7/2020,NO ,5.56,206
7/7/2020,MI ,3.41,378
7/7/2020,CC,1.83,269
7/14/2020,NO ,4.8,397
7/14/2020,MI ,2.92,220
7/14/2020,CC,1.44,328
7/21/2020,NO ,4.7,160
7/21/2020,MI ,3.22,168
7/21/2020,CC,1.81,332
6/30/2020,NO ,4.95,284
6/23/2020,NO ,5.3,142
6/16/2020,NO ,4.82,418
6/9/2020,NO ,5.22,338
6/2/2020,NO ,4.92,726
5/26/2020,NO ,4.93,306
5/19/2020,NO ,6.11,310
6/30/2020,MI ,3.02,428
6/23/2020,MI ,3.44,322
6/16/2020,MI ,3.22,240
6/9/2020,MI ,3.34,108
6/2/2020,MI ,3.23,94
5/26/2020,MI ,3.66,98
5/19/2020,MI ,3.92,234
6/30/2020,CC,1.63,384
6/23/2020,CC,1.56,244
6/16/2020,CC,1.31,364
6/9/2020,CC,1.71,200
6/2/2020,CC,2.03,1130
5/26/2020,CC,2.22,384
5/19/2020,CC,1.63,360
7/28/2020,NO ,4.77,256
7/28/2020,MI ,2.97,258
7/28/2020,CC,1.31,196
8/4/2020,NO ,5.8,296
8/4/2020,MI ,3.54,176
8/4/2020,CC,1.54,260
8/11/2020,NO ,5.16,319
8/11/2020,MI ,3.2,104
8/11/2020,CC,1.42,430
8/18/2020,NO ,5.71,266
8/18/2020,MI ,3.34,292
8/18/2020,CC,1.67,628
8/25/2020,NO ,6.36,294
8/25/2020,MI ,4.05,196
8/25/2020,CC,1.75,256
