sample_id,target,pos_neg
CC_10_A,N1,neg
CC_10_A,N1,pos
CC_10_A,N1,pos
CC_10_A,N2,neg
CC_10_A,N2,pos
CC_10_A,N2,pos
CC_10_B,N1,neg
CC_10_B,N1,neg
CC_10_B,N1,pos
CC_10_B,N2,neg
CC_10_B,N2,neg
CC_10_B,N2,neg
CC_11_A,N1,neg
CC_11_A,N1,neg
CC_11_A,N1,neg
CC_11_A,N2,neg
CC_11_A,N2,neg
CC_11_A,N2,neg
CC_11_B,N1,neg
CC_11_B,N1,neg
CC_11_B,N1,pos
CC_11_B,N2,neg
CC_11_B,N2,neg
CC_11_B,N2,pos
CC_12_A,N1,neg
CC_12_A,N1,neg
CC_12_A,N1,neg
CC_12_A,N2,neg
CC_12_A,N2,neg
CC_12_A,N2,neg
CC_12_B,N1,neg
CC_12_B,N1,neg
CC_12_B,N1,neg
CC_12_B,N2,neg
CC_12_B,N2,neg
CC_12_B,N2,neg
CC_13_A,N1,neg
CC_13_A,N1,neg
CC_13_A,N1,pos
CC_13_A,N2,neg
CC_13_A,N2,neg
CC_13_A,N2,neg
CC_13_B,N1,neg
CC_13_B,N1,neg
CC_13_B,N1,neg
CC_13_B,N2,neg
CC_13_B,N2,neg
CC_13_B,N2,neg
CC_14_A,N1,neg
CC_14_A,N1,neg
CC_14_A,N1,neg
CC_14_A,N2,neg
CC_14_A,N2,neg
CC_14_A,N2,pos
CC_14_B,N1,neg
CC_14_B,N1,pos
CC_14_B,N1,pos
CC_14_B,N2,pos
CC_14_B,N2,pos
CC_14_B,N2,pos
CC_15_A,N1,neg
CC_15_A,N1,neg
CC_15_A,N1,neg
CC_15_A,N2,neg
CC_15_A,N2,neg
CC_15_A,N2,neg
CC_15_B,N1,neg
CC_15_B,N1,neg
CC_15_B,N1,pos
CC_15_B,N2,neg
CC_15_B,N2,neg
CC_15_B,N2,pos
CC_16_A,N1,neg
CC_16_A,N1,neg
CC_16_A,N1,neg
CC_16_A,N2,neg
CC_16_A,N2,neg
CC_16_A,N2,pos
CC_16_B,N1,neg
CC_16_B,N1,neg
CC_16_B,N1,neg
CC_16_B,N2,neg
CC_16_B,N2,neg
CC_16_B,N2,pos
CC_17_A,N1,neg
CC_17_A,N1,neg
CC_17_A,N1,pos
CC_17_A,N2,neg
CC_17_A,N2,neg
CC_17_A,N2,pos
CC_17_B,N1,neg
CC_17_B,N1,neg
CC_17_B,N1,neg
CC_17_B,N2,neg
CC_17_B,N2,neg
CC_17_B,N2,neg
CC_18_A,N1,neg
CC_18_A,N1,neg
CC_18_A,N1,neg
CC_18_A,N2,neg
CC_18_A,N2,neg
CC_18_A,N2,neg
CC_18_B,N1,neg
CC_18_B,N1,pos
CC_18_B,N1,pos
CC_18_B,N2,neg
CC_18_B,N2,neg
CC_18_B,N2,pos
CC_19_A,N1,neg
CC_19_A,N1,neg
CC_19_A,N1,neg
CC_19_A,N2,neg
CC_19_A,N2,neg
CC_19_A,N2,neg
CC_19_B,N1,neg
CC_19_B,N1,neg
CC_19_B,N1,pos
CC_19_B,N2,neg
CC_19_B,N2,neg
CC_19_B,N2,neg
CC_20_A,N1,neg
CC_20_A,N1,neg
CC_20_A,N1,neg
CC_20_A,N2,neg
CC_20_A,N2,neg
CC_20_A,N2,neg
CC_20_B,N1,neg
CC_20_B,N1,neg
CC_20_B,N1,neg
CC_20_B,N2,neg
CC_20_B,N2,neg
CC_20_B,N2,neg
CC_21_A,N1,neg
CC_21_A,N1,neg
CC_21_A,N1,neg
CC_21_A,N2,neg
CC_21_A,N2,pos
CC_21_A,N2,pos
CC_21_B,N1,neg
CC_21_B,N1,neg
CC_21_B,N1,neg
CC_21_B,N2,neg
CC_21_B,N2,neg
CC_21_B,N2,neg
CC_22_A,N1,neg
CC_22_A,N1,neg
CC_22_A,N1,neg
CC_22_A,N2,neg
CC_22_A,N2,neg
CC_22_A,N2,neg
CC_22_B,N1,neg
CC_22_B,N1,neg
CC_22_B,N1,neg
CC_22_B,N2,neg
CC_22_B,N2,neg
CC_22_B,N2,neg
CC_22_C,N1,neg
CC_22_C,N1,neg
CC_22_C,N1,neg
CC_22_C,N2,neg
CC_22_C,N2,neg
CC_22_C,N2,neg
CC_23_A,N1,neg
CC_23_A,N1,neg
CC_23_A,N1,neg
CC_23_A,N2,neg
CC_23_A,N2,neg
CC_23_A,N2,neg
CC_23_B,N1,neg
CC_23_B,N1,neg
CC_23_B,N1,neg
CC_23_B,N2,neg
CC_23_B,N2,neg
CC_23_B,N2,neg
CC_23_C,N1,neg
CC_23_C,N1,neg
CC_23_C,N1,neg
CC_23_C,N2,neg
CC_23_C,N2,neg
CC_23_C,N2,neg
CC_24_A,N1,neg
CC_24_A,N1,neg
CC_24_A,N1,neg
CC_24_A,N2,neg
CC_24_A,N2,neg
CC_24_A,N2,neg
CC_24_B,N1,neg
CC_24_B,N1,neg
CC_24_B,N1,neg
CC_24_B,N2,neg
CC_24_B,N2,neg
CC_24_B,N2,pos
CC_24_C,N1,neg
CC_24_C,N1,neg
CC_24_C,N1,pos
CC_24_C,N2,neg
CC_24_C,N2,neg
CC_24_C,N2,pos
CC_25_A,N1,neg
CC_25_A,N1,neg
CC_25_A,N1,pos
CC_25_A,N2,neg
CC_25_A,N2,neg
CC_25_A,N2,neg
CC_25_B,N1,neg
CC_25_B,N1,neg
CC_25_B,N1,neg
CC_25_B,N2,neg
CC_25_B,N2,neg
CC_25_B,N2,neg
CC_25_C,N1,neg
CC_25_C,N1,neg
CC_25_C,N1,pos
CC_25_C,N2,neg
CC_25_C,N2,neg
CC_25_C,N2,neg
CC_26_A,N1,neg
CC_26_A,N1,neg
CC_26_A,N1,neg
CC_26_A,N2,neg
CC_26_A,N2,neg
CC_26_A,N2,neg
CC_26_B,N1,neg
CC_26_B,N1,neg
CC_26_B,N1,neg
CC_26_B,N2,neg
CC_26_B,N2,neg
CC_26_B,N2,neg
CC_26_C,N1,neg
CC_26_C,N1,neg
CC_26_C,N1,neg
CC_26_C,N2,neg
CC_26_C,N2,neg
CC_26_C,N2,neg
CC_27_A,N1,neg
CC_27_A,N1,neg
CC_27_A,N1,neg
CC_27_A,N2,neg
CC_27_A,N2,neg
CC_27_A,N2,neg
CC_27_B,N1,neg
CC_27_B,N1,neg
CC_27_B,N1,pos
CC_27_B,N2,neg
CC_27_B,N2,neg
CC_27_B,N2,neg
CC_27_C,N1,neg
CC_27_C,N1,neg
CC_27_C,N1,neg
CC_27_C,N2,neg
CC_27_C,N2,neg
CC_27_C,N2,neg
CC_28_A,N1,neg
CC_28_A,N1,neg
CC_28_A,N1,neg
CC_28_A,N2,neg
CC_28_A,N2,neg
CC_28_A,N2,neg
CC_28_B,N1,neg
CC_28_B,N1,neg
CC_28_B,N1,neg
CC_28_B,N2,neg
CC_28_B,N2,pos
CC_28_B,N2,pos
CC_28_C,N1,neg
CC_28_C,N1,neg
CC_28_C,N1,pos
CC_28_C,N2,neg
CC_28_C,N2,neg
CC_28_C,N2,neg
CC_29_A,N1,neg
CC_29_A,N1,neg
CC_29_A,N1,neg
CC_29_A,N2,neg
CC_29_A,N2,neg
CC_29_A,N2,neg
CC_29_B,N1,neg
CC_29_B,N1,neg
CC_29_B,N1,pos
CC_29_B,N2,neg
CC_29_B,N2,neg
CC_29_B,N2,neg
CC_29_C,N1,neg
CC_29_C,N1,neg
CC_29_C,N1,neg
CC_29_C,N2,neg
CC_29_C,N2,neg
CC_29_C,N2,neg
CC_30_A,N1,neg
CC_30_A,N1,neg
CC_30_A,N1,neg
CC_30_A,N2,neg
CC_30_A,N2,neg
CC_30_A,N2,pos
CC_30_B,N1,neg
CC_30_B,N1,neg
CC_30_B,N1,neg
CC_30_B,N2,neg
CC_30_B,N2,neg
CC_30_B,N2,neg
CC_30_C,N1,neg
CC_30_C,N1,neg
CC_30_C,N1,neg
CC_30_C,N2,neg
CC_30_C,N2,neg
CC_30_C,N2,pos
CC_31_A,N1,neg
CC_31_A,N1,neg
CC_31_A,N1,neg
CC_31_A,N2,neg
CC_31_A,N2,neg
CC_31_A,N2,neg
CC_31_B,N1,neg
CC_31_B,N1,neg
CC_31_B,N1,neg
CC_31_B,N2,neg
CC_31_B,N2,neg
CC_31_B,N2,pos
CC_31_C,N1,neg
CC_31_C,N1,neg
CC_31_C,N1,pos
CC_31_C,N2,neg
CC_31_C,N2,neg
CC_31_C,N2,neg
CC_32_A,N1,neg
CC_32_A,N1,neg
CC_32_A,N1,neg
CC_32_A,N2,neg
CC_32_A,N2,neg
CC_32_A,N2,pos
CC_32_B,N1,neg
CC_32_B,N1,neg
CC_32_B,N1,neg
CC_32_B,N2,neg
CC_32_B,N2,neg
CC_32_B,N2,neg
CC_33_A,N1,neg
CC_33_A,N1,neg
CC_33_A,N1,neg
CC_33_A,N2,neg
CC_33_A,N2,neg
CC_33_A,N2,neg
CC_33_B,N1,neg
CC_33_B,N1,neg
CC_33_B,N1,pos
CC_33_B,N2,neg
CC_33_B,N2,neg
CC_33_B,N2,neg
CC_33_C,N1,neg
CC_33_C,N1,neg
CC_33_C,N1,neg
CC_33_C,N2,neg
CC_33_C,N2,neg
CC_33_C,N2,neg
CC_34_A,N1,neg
CC_34_A,N1,neg
CC_34_A,N1,pos
CC_34_A,N2,neg
CC_34_A,N2,neg
CC_34_A,N2,neg
CC_34_B,N1,neg
CC_34_B,N1,neg
CC_34_B,N1,neg
CC_34_B,N2,neg
CC_34_B,N2,neg
CC_34_B,N2,neg
CC_34_C,N1,neg
CC_34_C,N1,neg
CC_34_C,N1,pos
CC_34_C,N2,neg
CC_34_C,N2,neg
CC_34_C,N2,neg
CC_35_A,N1,neg
CC_35_A,N1,neg
CC_35_A,N1,neg
CC_35_A,N2,neg
CC_35_A,N2,neg
CC_35_A,N2,neg
CC_35_B,N1,neg
CC_35_B,N1,neg
CC_35_B,N1,neg
CC_35_B,N2,neg
CC_35_B,N2,neg
CC_35_B,N2,neg
CC_35_C,N1,neg
CC_35_C,N1,neg
CC_35_C,N1,pos
CC_35_C,N2,neg
CC_35_C,N2,neg
CC_35_C,N2,pos
CC_36_A,N1,neg
CC_36_A,N1,neg
CC_36_A,N1,neg
CC_36_A,N2,neg
CC_36_A,N2,neg
CC_36_A,N2,pos
CC_36_B,N1,neg
CC_36_B,N1,neg
CC_36_B,N1,neg
CC_36_B,N2,neg
CC_36_B,N2,neg
CC_36_B,N2,neg
CC_36_C,N1,neg
CC_36_C,N1,neg
CC_36_C,N1,pos
CC_36_C,N2,neg
CC_36_C,N2,neg
CC_36_C,N2,neg
CC_37_A,N1,neg
CC_37_A,N1,neg
CC_37_A,N1,pos
