date,sample,target,ct,slope,intercept,copies_ul_rxn
10/28/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_Z,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_Z,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_Z,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_Z,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_B,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_Z,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_Z,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_Z,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_C,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_C,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_C,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_C,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_C,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_A,N2,Undetermined,-3.3084,32.416,0.0002
11/4/2020,SL_C,N2,Undetermined,-3.3084,32.416,0.0002
10/28/2020,SL_Z,N1,Undetermined,-3.389,34.008,0.0002
