rep,date,sample,target,ct,slope,intercept,copies_ul_rxn
1,10/28/2020,SL_A_24,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_A_24,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_A_24,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_C_24,N2,32.07859421,-3.2338,32.189,1.081785594
1,10/28/2020,SL_C_24,N2,31.95936775,-3.2338,32.189,1.177633181
1,10/28/2020,SL_C_24,N2,33.00105667,-3.2338,32.189,0.560899039
2,10/28/2020,SL_A_48,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_A_48,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_A_48,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_C_48,N2,32.46875,-3.2338,32.189,0.819392279
2,10/28/2020,SL_C_48,N2,33.13728333,-3.2338,32.189,0.5090481
2,10/28/2020,SL_C_48,N2,32.80296707,-3.2338,32.189,0.645863407
3,10/28/2020,SL_A_24,N2,Undetermined,-3.2338,32.189,0.0002
3,10/28/2020,SL_A_24,N2,Undetermined,-3.2338,32.189,0.0002
3,10/28/2020,SL_A_24,N2,Undetermined,-3.2338,32.189,0.0002
3,10/28/2020,SL_C_24,N2,33.32099152,-3.2338,32.189,0.446632224
3,10/28/2020,SL_C_24,N2,34.2759552,-3.2338,32.189,0.226278391
3,10/28/2020,SL_C_24,N2,32.54695892,-3.2338,32.189,0.775009509
1,10/28/2020,SL_A_48,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_A_48,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_A_48,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_C_48,N2,32.73084641,-3.2338,32.189,0.679896524
1,10/28/2020,SL_C_48,N2,32.426548,-3.2338,32.189,0.844388184
1,10/28/2020,SL_C_48,N2,32.62509155,-3.2338,32.189,0.733070575
2,10/28/2020,SL_A_24,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_A_24,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_A_24,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_C_24,N2,31.92291641,-3.2338,32.189,1.208598407
2,10/28/2020,SL_C_24,N2,31.92790222,-3.2338,32.189,1.204315392
2,10/28/2020,SL_C_24,N2,31.44324112,-3.2338,32.189,1.700645491
3,10/28/2020,SL_A_48,N2,Undetermined,-3.2338,32.189,0.0002
3,10/28/2020,SL_A_48,N2,Undetermined,-3.2338,32.189,0.0002
3,10/28/2020,SL_A_48,N2,Undetermined,-3.2338,32.189,0.0002
3,10/28/2020,SL_C_48,N2,32.6627388,-3.2338,32.189,0.71368076
3,10/28/2020,SL_C_48,N2,32.96766281,-3.2338,32.189,0.574395731
3,10/28/2020,SL_C_48,N2,33.59054184,-3.2338,32.189,0.368634523
1,10/28/2020,SL_B_24,N2,34.79656219,-3.2338,32.189,0.156190223
1,10/28/2020,SL_B_24,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_B_24,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_Z_24,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_Z_24,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_Z_24,N2,35.37412262,-3.2338,32.189,0.103526775
2,10/28/2020,SL_B_48,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_B_48,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_B_48,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_Z_48,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_Z_48,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_Z_48,N2,Undetermined,-3.2338,32.189,0.0002
3,10/28/2020,SL_B_24,N2,32.95726776,-3.2338,32.189,0.578662985
3,10/28/2020,SL_B_24,N2,35.52108002,-3.2338,32.189,0.09324134
3,10/28/2020,SL_B_24,N2,34.71858215,-3.2338,32.189,0.165107919
3,10/28/2020,SL_Z_24,N2,Undetermined,-3.2338,32.189,0.0002
3,10/28/2020,SL_Z_24,N2,35.45567322,-3.2338,32.189,0.097686487
3,10/28/2020,SL_Z_24,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_B_48,N2,35.85129166,-3.2338,32.189,0.073704827
1,10/28/2020,SL_B_48,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_B_48,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_Z_48,N2,37.10062027,-3.2338,32.189,0.030280385
1,10/28/2020,SL_Z_48,N2,36.45718002,-3.2338,32.189,0.04787787
1,10/28/2020,SL_Z_48,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_B_24,N2,36.55669785,-3.2338,32.189,0.044602639
2,10/28/2020,SL_B_24,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_B_24,N2,33.94758606,-3.2338,32.189,0.285881395
2,10/28/2020,SL_Z_24,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_Z_24,N2,Undetermined,-3.2338,32.189,0.0002
2,10/28/2020,SL_Z_24,N2,Undetermined,-3.2338,32.189,0.0002
3,10/28/2020,SL_B_48,N2,34.74126816,-3.2338,32.189,0.162462311
3,10/28/2020,SL_B_48,N2,35.55104446,-3.2338,32.189,0.091273034
3,10/28/2020,SL_B_48,N2,Undetermined,-3.2338,32.189,0.0002
3,10/28/2020,SL_Z_48,N2,Undetermined,-3.2338,32.189,0.0002
3,10/28/2020,SL_Z_48,N2,Undetermined,-3.2338,32.189,0.0002
3,10/28/2020,SL_Z_48,N2,Undetermined,-3.2338,32.189,0.0002
1,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_Z_24,N1,34.78222656,-2.9612,31.349,0.069278135
1,10/28/2020,SL_Z_24,N1,32.76332474,-2.9612,31.349,0.332951686
1,10/28/2020,SL_Z_24,N1,33.69960403,-2.9612,31.349,0.16076771
2,10/28/2020,SL_B_48,N1,34.25880432,-2.9612,31.349,0.104077384
2,10/28/2020,SL_B_48,N1,32.93008804,-2.9612,31.349,0.29245907
2,10/28/2020,SL_B_48,N1,33.24665451,-2.9612,31.349,0.22864426
2,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_Z_24,N1,34.46736908,-2.9612,31.349,0.088496044
3,10/28/2020,SL_Z_24,N1,33.80767441,-2.9612,31.349,0.147809845
3,10/28/2020,SL_Z_24,N1,34.48764038,-2.9612,31.349,0.087112047
1,10/28/2020,SL_B_48,N1,33.67576599,-2.9612,31.349,0.163775508
1,10/28/2020,SL_B_48,N1,33.70088196,-2.9612,31.349,0.160608036
1,10/28/2020,SL_B_48,N1,34.31746292,-2.9612,31.349,0.099436838
1,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_B_24,N1,37.06649017,-2.9612,31.349,0.011727306
2,10/28/2020,SL_B_24,N1,Undetermined,-2.9612,31.349,0.0002
2,10/28/2020,SL_Z_24,N1,31.85451698,-2.9612,31.349,0.674973067
2,10/28/2020,SL_Z_24,N1,32.65656662,-2.9612,31.349,0.36177082
2,10/28/2020,SL_Z_24,N1,31.86335564,-2.9612,31.349,0.670350013
3,10/28/2020,SL_B_48,N1,33.39700317,-2.9612,31.349,0.203417082
3,10/28/2020,SL_B_48,N1,33.38690567,-2.9612,31.349,0.205020532
3,10/28/2020,SL_B_48,N1,33.7440033,-2.9612,31.349,0.155312051
3,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
3,10/28/2020,SL_Z_48,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_A_24,N1,35.17346191,-2.9612,31.349,0.051106442
1,10/28/2020,SL_A_24,N1,Undetermined,-2.9612,31.349,0.0002
1,10/28/2020,SL_A_24,N1,Undetermined,-2.9612,31.349,0.0002
