sample,target,ct,slope,intercept,copies_ul_rxn
48HT_A,N1,Undetermined,-3.4058,34.507,0.0002
48HT_A,N1,35.92217255,-3.4058,34.507,0.384132989
48HT_A,N1,Undetermined,-3.4058,34.507,0.0002
48HT_B,N1,34.96931839,-3.4058,34.507,0.73156946
48HT_B,N1,35.800457,-3.4058,34.507,0.417079968
48HT_B,N1,Undetermined,-3.4058,34.507,0.0002
48HT_C,N1,Undetermined,-3.4058,34.507,0.0002
48HT_C,N1,Undetermined,-3.4058,34.507,0.0002
48HT_C,N1,Undetermined,-3.4058,34.507,0.0002
24HT_A,N1,37.05830002,-3.4058,34.507,0.178195005
24HT_A,N1,Undetermined,-3.4058,34.507,0.0002
24HT_A,N1,Undetermined,-3.4058,34.507,0.0002
24HT_B,N1,Undetermined,-3.4058,34.507,0.0002
24HT_B,N1,Undetermined,-3.4058,34.507,0.0002
24HT_B,N1,Undetermined,-3.4058,34.507,0.0002
24HT_C,N1,Undetermined,-3.4058,34.507,0.0002
24HT_C,N1,Undetermined,-3.4058,34.507,0.0002
24HT_C,N1,Undetermined,-3.4058,34.507,0.0002
48HT_A,N2,Undetermined,-3.5116,34.315,0.0002
48HT_A,N2,Undetermined,-3.5116,34.315,0.0002
48HT_A,N2,37.05517197,-3.5116,34.315,0.165836425
48HT_B,N2,Undetermined,-3.5116,34.315,0.0002
48HT_B,N2,Undetermined,-3.5116,34.315,0.0002
48HT_B,N2,35.14742661,-3.5116,34.315,0.579361298
48HT_C,N2,Undetermined,-3.5116,34.315,0.0002
48HT_C,N2,Undetermined,-3.5116,34.315,0.0002
48HT_C,N2,Undetermined,-3.5116,34.315,0.0002
24HT_A,N2,Undetermined,-3.5116,34.315,0.0002
24HT_A,N2,Undetermined,-3.5116,34.315,0.0002
24HT_A,N2,35.53858566,-3.5116,34.315,0.448289875
24HT_B,N2,Undetermined,-3.5116,34.315,0.0002
24HT_B,N2,Undetermined,-3.5116,34.315,0.0002
24HT_B,N2,Undetermined,-3.5116,34.315,0.0002
24HT_C,N2,Undetermined,-3.5116,34.315,0.0002
24HT_C,N2,Undetermined,-3.5116,34.315,0.0002
24HT_C,N2,Undetermined,-3.5116,34.315,0.0002
