sample_id,target,ct
CC_39_A,N1,34.3347702
CC_39_A,N1,34.43587494
CC_39_A,N1,35.35173798
CC_39_B,N1,33.2952652
CC_39_B,N1,34.35087585
CC_39_B,N1,35.15158081
CC_39_C,N1,34.23575974
CC_39_C,N1,34.36485672
CC_39_C,N1,34.40667343
CC_41_A,N1,34.49026871
CC_41_C,N1,34.91564178
CC_41_C,N1,35.62636185
CC_41_C,N1,35.96389771
CC_43_A,N1,37.79699326
CC_43_A,N1,37.14741135
CC_43_A,N1,33.69122696
CC_46_C,N1,34.7922287
CC_46_C,N1,35.63950348
CC_46_C,N1,34.89160919
CC_50_C,N1,37.02496719
CC_50_C,N1,36.73803329
CC_50_C,N1,36.60337448
MI_17_A,N1,36.3359642
MI_17_A,N1,36.42549133
MI_17_A,N1,36.58085251
MI_19_A,N1,35.55778122
MI_19_A,N1,35.63641739
MI_19_A,N1,37.12983322
MI_25_A,N1,34.84725189
MI_25_A,N1,35.74416733
MI_25_A,N1,36.75649643
MI_31_C,N1,35.51955032
MI_31_C,N1,35.65231705
MI_31_C,N1,35.66688919
MI_39_C,N1,34.27095795
MI_39_C,N1,35.34827423
MI_39_C,N1,37.14071655
MI_41_C,N1,35.55639267
MI_41_C,N1,35.62180328
MI_41_C,N1,35.71077347
MI_43_A,N1,33.42967606
MI_43_A,N1,34.25324249
MI_43_A,N1,34.9828186
MI_45_B,N1,35.6736145
MI_45_B,N1,37.1014328
MI_45_B,N1,35.63896561
MI_47_B,N1,34.7191391
MI_47_B,N1,37.036026
MI_47_B,N1,35.62339401
NO_17_B,N1,34.35351944
NO_17_B,N1,36.07159424
NO_17_B,N1,36.11556625
NO_43_B,N1,33.02874374
NO_43_B,N1,33.93043518
NO_43_B,N1,34.02457047
NO_44_A,N1,36.22013092
NO_44_A,N1,35.48944092
NO_44_A,N1,36.07432556
NO_45_B,N1,33.1954422
NO_45_B,N1,32.15543747
NO_45_B,N1,32.39475632
NO_7_C,N1,34.37643051
NO_7_C,N1,35.11445618
NO_7_C,N1,36.17138672
CC_14_B,N2,35.65394592
CC_14_B,N2,35.86466217
CC_14_B,N2,35.92063141
CC_46_A,N2,34.93347931
CC_46_A,N2,35.69757843
CC_46_A,N2,33.96050262
MI_10_A,N2,34.80694962
MI_10_A,N2,35.96951675
MI_10_A,N2,36.36291885
MI_11_B,N2,35.82836914
MI_11_B,N2,35.88684082
MI_11_B,N2,35.91749573
MI_17_B,N2,35.35771942
MI_17_B,N2,36.06287766
MI_17_B,N2,36.94585037
MI_19_B,N2,35.81874466
MI_19_B,N2,36.8588028
MI_19_B,N2,37.07063293
MI_44_A,N2,34.38872147
MI_44_A,N2,35.13206482
MI_44_A,N2,36.81361389
NO_16_A,N2,35.01486206
NO_16_A,N2,36.31856155
NO_16_A,N2,37.07648087
NO_17_A,N2,35.19487381
NO_17_A,N2,35.95957947
NO_17_A,N2,36.65527725
NO_17_B,N2,35.15188599
NO_17_B,N2,35.80091476
NO_17_B,N2,36.70161438
NO_38_B,N2,34.28877258
NO_38_B,N2,34.31031418
NO_38_B,N2,35.6652832
NO_43_C,N2,35.79088593
NO_43_C,N2,35.85088348
NO_43_C,N2,34.5946846
NO_45_B,N2,33.51803207
NO_45_B,N2,33.79588699
NO_45_B,N2,33.11450958
NO_7_C,N2,34.30711365
NO_7_C,N2,35.09724426
NO_7_C,N2,37.04083633
NO_9_A,N2,36.43680573
NO_9_A,N2,36.75882721
NO_9_A,N2,36.85206604
