date,new_cases_clarke,previous_seven,following_seven,following_ten,previous_following_five
6/10/2020,2,,,,
6/11/2020,2,,,,
6/12/2020,6,,,,
6/13/2020,3,,,,
6/14/2020,1,,,,
6/15/2020,5,,,,
6/16/2020,6,3.571428571,6.285714286,9.4,4.636363636
6/17/2020,8,,,,
6/18/2020,2,,,,
6/19/2020,11,,,,
6/20/2020,2,,,,
6/21/2020,5,,,,
6/22/2020,10,,,,
6/23/2020,17,7.857142857,14.14285714,21.6,11.27272727
6/24/2020,11,,,,
6/25/2020,22,,,,
6/26/2020,22,,,,
6/27/2020,18,,,,
6/28/2020,4,,,,
6/29/2020,5,,,,
6/30/2020,41,17.57142857,35.42857143,35.1,26.81818182
7/1/2020,43,,,,
7/2/2020,33,,,,
7/3/2020,54,,,,
7/4/2020,29,,,,
7/5/2020,24,,,,
7/6/2020,24,,,,
7/7/2020,37,34.85714286,34.14285714,34.9,33.18181818
7/8/2020,29,,,,
7/9/2020,37,,,,
7/10/2020,56,,,,
7/11/2020,28,,,,
7/12/2020,14,,,,
7/13/2020,38,,,,
7/14/2020,30,33.14285714,39.71428571,37.9,39.45454545
7/15/2020,38,,,,
7/16/2020,42,,,,
7/17/2020,53,,,,
7/18/2020,65,,,,
7/19/2020,33,,,,
7/20/2020,17,,,,
7/21/2020,31,39.85714286,31.42857143,33.6,37.45454545
7/22/2020,20,,,,
7/23/2020,50,,,,
7/24/2020,40,,,,
7/25/2020,43,,,,
7/26/2020,18,,,,
7/27/2020,18,,,,
7/28/2020,32,31.57142857,38,41.9,37.36363636
7/29/2020,50,,,,
7/30/2020,34,,,,
7/31/2020,74,,,,
8/1/2020,29,,,,
8/2/2020,23,,,,
8/3/2020,24,,,,
8/4/2020,53,41,48.57142857,42.5,44.54545455
8/5/2020,69,,,,
8/6/2020,31,,,,
8/7/2020,74,,,,
8/8/2020,59,,,,
8/9/2020,20,,,,
8/10/2020,34,,,,
8/11/2020,36,46.14285714,26.14285714,29.1,35.18181818
8/12/2020,33,,,,
8/13/2020,16,,,,
8/14/2020,43,,,,
8/15/2020,29,,,,
8/16/2020,12,,,,
8/17/2020,14,,,,
8/18/2020,41,26.85714286,35.28571429,42.7,31.90909091
8/19/2020,36,,,,
8/20/2020,31,,,,
8/21/2020,50,,,,
8/22/2020,51,,,,
8/23/2020,28,,,,
8/24/2020,10,,,,
8/25/2020,53,37,57.85714286,81.1,45.54545455
8/26/2020,65,,,,
8/27/2020,62,,,,
8/28/2020,46,,,,
8/29/2020,52,,,,
8/30/2020,53,,,,
8/31/2020,74,,,,
9/1/2020,154,72.28571429,124.5714286,134.75,101.9090909
9/2/2020,79,,,,
9/3/2020,173,,,,
9/4/2020,88,,,,
9/5/2020,277,,,,
9/6/2020,63,,,,
9/7/2020,38,,,,
9/8/2020,206,132,206,206,140.8333333
