date,precip_in,ave_temp_f
6/1/2020,0,74.5
6/2/2020,0,74.5
6/3/2020,0.03,79.5
6/4/2020,NA,80.5
6/5/2020,0.02,76.5
6/6/2020,0,79.5
6/7/2020,0,79.5
6/8/2020,0.52,80
6/9/2020,0.08,82.5
6/10/2020,0.01,80.5
6/11/2020,0,80.5
6/12/2020,0,78
6/13/2020,0,77
6/14/2020,0.18,75.5
6/15/2020,NA,71.5
6/16/2020,0,64.5
6/17/2020,0,65.5
6/18/2020,0,73
6/19/2020,0.01,77
6/20/2020,0,78
6/21/2020,0.03,80.5
6/22/2020,0.66,79
6/23/2020,0.06,77.5
6/24/2020,0.18,79
6/25/2020,0.64,77.5
6/26/2020,0,80
6/27/2020,0.24,79
6/28/2020,0,80.5
6/29/2020,0,84.5
6/30/2020,0,82.5
7/1/2020,NA,78.5
7/2/2020,0,83
7/3/2020,0,82.5
7/4/2020,0,82.5
7/5/2020,0,83
7/6/2020,1.26,78.5
7/7/2020,0.11,79
7/8/2020,0,81.5
7/9/2020,0,82.5
7/10/2020,0.04,83.5
7/11/2020,0,82
7/12/2020,0,80
7/13/2020,0,82
7/14/2020,0,83
7/15/2020,0,84.5
7/16/2020,0,84.5
7/17/2020,0,85.5
7/18/2020,0,85.5
7/19/2020,NA,85.5
7/20/2020,0,87
7/21/2020,0,85.5
7/22/2020,0.34,82.5
7/23/2020,0,84
7/24/2020,0,81.5
7/25/2020,0,83
7/26/2020,0,82
7/27/2020,0,86
7/28/2020,0,85
7/29/2020,0,84
7/30/2020,0.15,83.5
7/31/2020,0,86
8/1/2020,0,86
8/2/2020,NA,85.5
8/3/2020,1.52,80
