,sample_id,target,copy_num_uL_rxn,copies_ul_extraction,copies_lamp
1,CC_44_C,N1,2.00E-04,0.016666667,0.066666667
2,CC_44_C,N2,2.00E-04,0.016666667,0.066666667
3,CC_47_A,N1,2.00E-04,0.016666667,0.066666667
4,CC_47_A,N2,2.00E-04,0.016666667,0.066666667
5,CC_53_A,N1,2.00E-04,0.016666667,0.066666667
6,CC_53_A,N2,2.00E-04,0.016666667,0.066666667
7,MI_44_A,N1,0.260599468,21.71662233,86.86648933
8,MI_44_A,N2,2.00E-04,0.016666667,0.066666667
9,MI_47_A,N1,2.00E-04,0.016666667,0.066666667
10,MI_47_A,N2,2.00E-04,0.016666667,0.066666667
11,MI_53_A,N1,2.00E-04,0.016666667,0.066666667
12,MI_53_A,N2,2.00E-04,0.016666667,0.066666667
13,NO_44_A,N1,0.197549201,16.46243342,65.84973367
14,NO_44_A,N2,2.00E-04,0.016666667,0.066666667
15,NO_47_A,N1,2.00E-04,0.016666667,0.066666667
16,NO_47_A,N2,2.00E-04,0.016666667,0.066666667
17,NO_53_A,N1,2.00E-04,0.016666667,0.066666667
18,NO_53_A,N2,2.00E-04,0.016666667,0.066666667
19,SL_A,N1,2.00E-04,0.016666667,0.066666667
20,SL_A,N2,2.00E-04,0.016666667,0.066666667
21,SL_E,N1,0.137482133,11.45684439,45.82737756
22,SL_E,N2,2.00E-04,0.016666667,0.066666667
23,SL_H,N1,1.130596116,94.216343,376.865372
24,SL_H,N2,0.132333686,11.02780717,44.11122867
25,SL_K,N1,0.134117019,11.17641828,44.70567311
26,SL_K,N2,0.028980209,2.415017417,9.660069667
