"","sample_id","neg","pos"
"1","CC_10_A",2,4
"2","CC_10_B",5,1
"3","CC_11_A",6,0
"4","CC_11_B",4,2
"5","CC_12_A",6,0
"6","CC_12_B",6,0
"7","CC_13_A",5,1
"8","CC_13_B",6,0
"9","CC_14_A",5,1
"10","CC_14_B",1,5
"11","CC_15_A",6,0
"12","CC_15_B",4,2
"13","CC_16_A",5,1
"14","CC_16_B",5,1
"15","CC_17_A",4,2
"16","CC_17_B",6,0
"17","CC_18_A",6,0
"18","CC_18_B",3,3
"19","CC_19_A",6,0
"20","CC_19_B",5,1
"21","CC_20_A",6,0
"22","CC_20_B",6,0
"23","CC_21_A",4,2
"24","CC_21_B",6,0
"25","CC_22_A",6,0
"26","CC_22_B",6,0
"27","CC_22_C",6,0
"28","CC_23_A",6,0
"29","CC_23_B",6,0
"30","CC_23_C",6,0
"31","CC_24_A",6,0
"32","CC_24_B",5,1
"33","CC_24_C",4,2
"34","CC_25_A",5,1
"35","CC_25_B",6,0
"36","CC_25_C",5,1
"37","CC_26_A",6,0
"38","CC_26_B",6,0
"39","CC_26_C",6,0
"40","CC_27_A",6,0
"41","CC_27_B",5,1
"42","CC_27_C",6,0
"43","CC_28_A",6,0
"44","CC_28_B",4,2
"45","CC_28_C",5,1
"46","CC_29_A",6,0
"47","CC_29_B",5,1
"48","CC_29_C",6,0
"49","CC_30_A",5,1
"50","CC_30_B",6,0
"51","CC_30_C",5,1
"52","CC_31_A",6,0
"53","CC_31_B",5,1
"54","CC_31_C",5,1
"55","CC_32_A",5,1
"56","CC_32_B",6,0
"57","CC_33_A",6,0
"58","CC_33_B",5,1
"59","CC_33_C",6,0
"60","CC_34_A",5,1
"61","CC_34_B",6,0
"62","CC_34_C",5,1
"63","CC_35_A",6,0
"64","CC_35_B",6,0
"65","CC_35_C",4,2
"66","CC_36_A",5,1
"67","CC_36_B",6,0
"68","CC_36_C",5,1
"69","CC_37_A",4,2
"70","CC_37_B",5,1
"71","CC_37_C",6,0
"72","CC_38_A",2,4
"73","CC_38_B",4,2
"74","CC_38_C",4,2
"75","CC_39_A",1,5
"76","CC_39_B",1,5
"77","CC_39_C",1,5
"78","CC_41_A",3,3
"79","CC_41_B",4,2
"80","CC_41_C",2,4
"81","CC_42_A",5,1
"82","CC_42_B",5,1
"83","CC_42_C",4,2
"84","CC_43_A",2,4
"85","CC_43_B",4,2
"86","CC_43_C",3,3
"87","CC_44_A",5,1
"88","CC_44_B",5,1
"89","CC_44_C",5,1
"90","CC_45_A",3,3
"91","CC_45_B",5,1
"92","CC_45_C",5,1
"93","CC_46_A",0,6
"94","CC_46_B",2,4
"95","CC_46_C",1,5
"96","CC_47_A",6,0
"97","CC_47_B",4,2
"98","CC_47_C",4,2
"99","CC_48_A",4,2
"100","CC_48_B",4,2
"101","CC_48_C",5,1
"102","CC_49_A",3,3
"103","CC_49_B",5,1
"104","CC_49_C",4,2
"105","CC_50_A",3,3
"106","CC_50_B",3,3
"107","CC_50_C",2,4
"108","CC_51_A",5,1
"109","CC_51_B",6,0
"110","CC_51_C",6,0
"111","CC_52_A",5,1
"112","CC_52_B",4,2
"113","CC_52_C",6,0
"114","CC_7_C",6,0
"115","CC_8_A",5,1
"116","CC_8_B",4,2
"117","MI_10_A",2,4
"118","MI_10_B",2,4
"119","MI_11_A",6,0
"120","MI_11_B",2,4
"121","MI_12_A",6,0
"122","MI_12_B",6,0
"123","MI_13_A",6,0
"124","MI_13_B",6,0
"125","MI_14_A",4,2
"126","MI_14_B",3,3
"127","MI_15_A",5,1
"128","MI_15_B",5,1
"129","MI_16_A",3,3
"130","MI_16_B",4,2
"131","MI_17_A",1,5
"132","MI_17_B",2,4
"133","MI_18_A",5,1
"134","MI_18_B",4,2
"135","MI_18_C",4,2
"136","MI_18_D",3,3
"137","MI_19_A",7,5
"138","MI_19_B",8,4
"139","MI_20_A",3,3
"140","MI_20_B",4,2
"141","MI_21_A",6,0
"142","MI_21_B",5,1
"143","MI_22_A",6,0
"144","MI_22_B",6,0
"145","MI_22_C",6,0
"146","MI_23_A",4,2
