"","sample_id","target","neg","pos"
"1","CC_10_A","N1",1,2
"2","CC_10_A","N2",1,2
"3","CC_10_B","N1",2,1
"4","CC_10_B","N2",3,0
"5","CC_11_A","N1",3,0
"6","CC_11_A","N2",3,0
"7","CC_11_B","N1",2,1
"8","CC_11_B","N2",2,1
"9","CC_12_A","N1",3,0
"10","CC_12_A","N2",3,0
"11","CC_12_B","N1",3,0
"12","CC_12_B","N2",3,0
"13","CC_13_A","N1",2,1
"14","CC_13_A","N2",3,0
"15","CC_13_B","N1",3,0
"16","CC_13_B","N2",3,0
"17","CC_14_A","N1",3,0
"18","CC_14_A","N2",2,1
"19","CC_14_B","N1",1,2
"20","CC_14_B","N2",0,3
"21","CC_15_A","N1",3,0
"22","CC_15_A","N2",3,0
"23","CC_15_B","N1",2,1
"24","CC_15_B","N2",2,1
"25","CC_16_A","N1",3,0
"26","CC_16_A","N2",2,1
"27","CC_16_B","N1",3,0
"28","CC_16_B","N2",2,1
"29","CC_17_A","N1",2,1
"30","CC_17_A","N2",2,1
"31","CC_17_B","N1",3,0
"32","CC_17_B","N2",3,0
"33","CC_18_A","N1",3,0
"34","CC_18_A","N2",3,0
"35","CC_18_B","N1",1,2
"36","CC_18_B","N2",2,1
"37","CC_19_A","N1",3,0
"38","CC_19_A","N2",3,0
"39","CC_19_B","N1",2,1
"40","CC_19_B","N2",3,0
"41","CC_20_A","N1",3,0
"42","CC_20_A","N2",3,0
"43","CC_20_B","N1",3,0
"44","CC_20_B","N2",3,0
"45","CC_21_A","N1",3,0
"46","CC_21_A","N2",1,2
"47","CC_21_B","N1",3,0
"48","CC_21_B","N2",3,0
"49","CC_22_A","N1",3,0
"50","CC_22_A","N2",3,0
"51","CC_22_B","N1",3,0
"52","CC_22_B","N2",3,0
"53","CC_22_C","N1",3,0
"54","CC_22_C","N2",3,0
"55","CC_23_A","N1",3,0
"56","CC_23_A","N2",3,0
"57","CC_23_B","N1",3,0
"58","CC_23_B","N2",3,0
"59","CC_23_C","N1",3,0
"60","CC_23_C","N2",3,0
"61","CC_24_A","N1",3,0
"62","CC_24_A","N2",3,0
"63","CC_24_B","N1",3,0
"64","CC_24_B","N2",2,1
"65","CC_24_C","N1",2,1
"66","CC_24_C","N2",2,1
"67","CC_25_A","N1",2,1
"68","CC_25_A","N2",3,0
"69","CC_25_B","N1",3,0
"70","CC_25_B","N2",3,0
"71","CC_25_C","N1",2,1
"72","CC_25_C","N2",3,0
"73","CC_26_A","N1",3,0
"74","CC_26_A","N2",3,0
"75","CC_26_B","N1",3,0
"76","CC_26_B","N2",3,0
"77","CC_26_C","N1",3,0
"78","CC_26_C","N2",3,0
"79","CC_27_A","N1",3,0
"80","CC_27_A","N2",3,0
"81","CC_27_B","N1",2,1
"82","CC_27_B","N2",3,0
"83","CC_27_C","N1",3,0
"84","CC_27_C","N2",3,0
"85","CC_28_A","N1",3,0
"86","CC_28_A","N2",3,0
"87","CC_28_B","N1",3,0
"88","CC_28_B","N2",1,2
"89","CC_28_C","N1",2,1
"90","CC_28_C","N2",3,0
"91","CC_29_A","N1",3,0
"92","CC_29_A","N2",3,0
"93","CC_29_B","N1",2,1
"94","CC_29_B","N2",3,0
"95","CC_29_C","N1",3,0
"96","CC_29_C","N2",3,0
"97","CC_30_A","N1",3,0
"98","CC_30_A","N2",2,1
"99","CC_30_B","N1",3,0
"100","CC_30_B","N2",3,0
"101","CC_30_C","N1",3,0
"102","CC_30_C","N2",2,1
"103","CC_31_A","N1",3,0
"104","CC_31_A","N2",3,0
"105","CC_31_B","N1",3,0
"106","CC_31_B","N2",2,1
"107","CC_31_C","N1",2,1
"108","CC_31_C","N2",3,0
"109","CC_32_A","N1",3,0
"110","CC_32_A","N2",2,1
"111","CC_32_B","N1",3,0
"112","CC_32_B","N2",3,0
"113","CC_33_A","N1",3,0
"114","CC_33_A","N2",3,0
"115","CC_33_B","N1",2,1
"116","CC_33_B","N2",3,0
"117","CC_33_C","N1",3,0
"118","CC_33_C","N2",3,0
"119","CC_34_A","N1",2,1
"120","CC_34_A","N2",3,0
"121","CC_34_B","N1",3,0
"122","CC_34_B","N2",3,0
"123","CC_34_C","N1",2,1
"124","CC_34_C","N2",3,0
"125","CC_35_A","N1",3,0
"126","CC_35_A","N2",3,0
"127","CC_35_B","N1",3,0
"128","CC_35_B","N2",3,0
"129","CC_35_C","N1",2,1
"130","CC_35_C","N2",2,1
"131","CC_36_A","N1",3,0
"132","CC_36_A","N2",2,1
"133","CC_36_B","N1",3,0
"134","CC_36_B","N2",3,0
"135","CC_36_C","N1",2,1
"136","CC_36_C","N2",3,0
"137","CC_37_A","N1",2,1
"138","CC_37_A","N2",2,1
"139","CC_37_B","N1",3,0
"140","CC_37_B","N2",2,1
"141","CC_37_C","N1",3,0
"142","CC_37_C","N2",3,0
"143","CC_38_A","N1",1,2
"144","CC_38_A","N2",1,2
"145","CC_38_B","N1",3,0
"146","CC_38_B","N2",1,2
"147","CC_38_C","N1",3,0
"148","CC_38_C","N2",1,2
"149","CC_39_A","N1",0,3
"150","CC_39_A","N2",1,2
"151","CC_39_B","N1",0,3
"152","CC_39_B","N2",1,2
"153","CC_39_C","N1",0,3
"154","CC_39_C","N2",1,2
"155","CC_41_A","N1",2,1
"156","CC_41_A","N2",1,2
"157","CC_41_B","N1",1,2
"158","CC_41_B","N2",3,0
"159","CC_41_C","N1",0,3
"160","CC_41_C","N2",2,1
"161","CC_42_A","N1",2,1
"162","CC_42_A","N2",3,0
"163","CC_42_B","N1",3,0
"164","CC_42_B","N2",2,1
"165","CC_42_C","N1",2,1
"166","CC_42_C","N2",2,1
"167","CC_43_A","N1",0,3
"168","CC_43_A","N2",2,1
"169","CC_43_B","N1",2,1
"170","CC_43_B","N2",2,1
"171","CC_43_C","N1",1,2
"172","CC_43_C","N2",2,1
"173","CC_44_A","N1",2,1
"174","CC_44_A","N2",3,0
"175","CC_44_B","N1",3,0
"176","CC_44_B","N2",2,1
"177","CC_44_C","N1",3,0
"178","CC_44_C","N2",2,1
"179","CC_45_A","N1",2,1
"180","CC_45_A","N2",1,2
"181","CC_45_B","N1",3,0
"182","CC_45_B","N2",2,1
"183","CC_45_C","N1",2,1
"184","CC_45_C","N2",3,0
"185","CC_46_A","N1",0,3
"186","CC_46_A","N2",0,3
"187","CC_46_B","N1",1,2
"188","CC_46_B","N2",1,2
"189","CC_46_C","N1",0,3
"190","CC_46_C","N2",1,2
"191","CC_47_A","N1",3,0
"192","CC_47_A","N2",3,0
"193","CC_47_B","N1",2,1
"194","CC_47_B","N2",2,1
"195","CC_47_C","N1",2,1
"196","CC_47_C","N2",2,1
"197","CC_48_A","N1",2,1
"198","CC_48_A","N2",2,1
"199","CC_48_B","N1",1,2
"200","CC_48_B","N2",3,0
"201","CC_48_C","N1",2,1
"202","CC_48_C","N2",3,0
"203","CC_49_A","N1",2,1
"204","CC_49_A","N2",1,2
"205","CC_49_B","N1",3,0
"206","CC_49_B","N2",2,1
"207","CC_49_C","N1",1,2
"208","CC_49_C","N2",3,0
"209","CC_50_A","N1",2,1
"210","CC_50_A","N2",1,2
"211","CC_50_B","N1",2,1
"212","CC_50_B","N2",1,2
"213","CC_50_C","N1",0,3
"214","CC_50_C","N2",2,1
"215","CC_51_A","N1",2,1
"216","CC_51_A","N2",3,0
"217","CC_51_B","N1",3,0
"218","CC_51_B","N2",3,0
"219","CC_51_C","N1",3,0
"220","CC_51_C","N2",3,0
"221","CC_52_A","N1",3,0
"222","CC_52_A","N2",2,1
"223","CC_52_B","N1",2,1
"224","CC_52_B","N2",2,1
"225","CC_52_C","N1",3,0
"226","CC_52_C","N2",3,0
"227","CC_7_C","N1",3,0
"228","CC_7_C","N2",3,0
"229","CC_8_A","N1",3,0
"230","CC_8_A","N2",2,1
"231","CC_8_B","N1",2,1
"232","CC_8_B","N2",2,1
"233","MI_10_A","N1",2,1
"234","MI_10_A","N2",0,3
"235","MI_10_B","N1",1,2
"236","MI_10_B","N2",1,2
"237","MI_11_A","N1",3,0
"238","MI_11_A","N2",3,0
"239","MI_11_B","N1",2,1
"240","MI_11_B","N2",0,3
"241","MI_12_A","N1",3,0
"242","MI_12_A","N2",3,0
"243","MI_12_B","N1",3,0
"244","MI_12_B","N2",3,0
"245","MI_13_A","N1",3,0
"246","MI_13_A","N2",3,0
"247","MI_13_B","N1",3,0
"248","MI_13_B","N2",3,0
"249","MI_14_A","N1",2,1
"250","MI_14_A","N2",2,1
"251","MI_14_B","N1",2,1
"252","MI_14_B","N2",1,2
"253","MI_15_A","N1",2,1
"254","MI_15_A","N2",3,0
"255","MI_15_B","N1",3,0
"256","MI_15_B","N2",2,1
"257","MI_16_A","N1",1,2
"258","MI_16_A","N2",2,1
"259","MI_16_B","N1",2,1
"260","MI_16_B","N2",2,1
"261","MI_17_A","N1",0,3
"262","MI_17_A","N2",1,2
"263","MI_17_B","N1",2,1
"264","MI_17_B","N2",0,3
"265","MI_18_A","N1",2,1
"266","MI_18_A","N2",3,0
"267","MI_18_B","N1",2,1
"268","MI_18_B","N2",2,1
"269","MI_18_C","N1",3,0
"270","MI_18_C","N2",1,2
"271","MI_18_D","N1",2,1
"272","MI_18_D","N2",1,2
"273","MI_19_A","N1",3,3
"274","MI_19_A","N2",4,2
"275","MI_19_B","N1",5,1
"276","MI_19_B","N2",3,3
"277","MI_20_A","N1",1,2
"278","MI_20_A","N2",2,1
"279","MI_20_B","N1",2,1
"280","MI_20_B","N2",2,1
"281","MI_21_A","N1",3,0
"282","MI_21_A","N2",3,0
"283","MI_21_B","N1",2,1
"284","MI_21_B","N2",3,0
"285","MI_22_A","N1",3,0
"286","MI_22_A","N2",3,0
"287","MI_22_B","N1",3,0
"288","MI_22_B","N2",3,0
"289","MI_22_C","N1",3,0
"290","MI_22_C","N2",3,0
"291","MI_23_A","N1",1,2
"292","MI_23_A","N2",3,0
"293","MI_23_B","N1",3,0
"294","MI_23_B","N2",3,0
"295","MI_23_C","N1",2,1
"296","MI_23_C","N2",2,1
"297","MI_24_A","N1",2,1
"298","MI_24_A","N2",1,2
"299","MI_24_B","N1",2,1
"300","MI_24_B","N2",1,2
"301","MI_24_C","N1",3,0
"302","MI_24_C","N2",2,1
"303","MI_25_A","N1",0,3
"304","MI_25_A","N2",2,1
"305","MI_25_B","N1",2,1
"306","MI_25_B","N2",3,0
"307","MI_25_C","N1",3,0
"308","MI_25_C","N2",3,0
"309","MI_26_A","N1",2,1
"310","MI_26_A","N2",3,0
"311","MI_26_B","N1",3,0
"312","MI_26_B","N2",3,0
"313","MI_26_C","N1",2,1
"314","MI_26_C","N2",3,0
"315","MI_27_A","N1",3,0
"316","MI_27_A","N2",3,0
"317","MI_27_B","N1",3,0
"318","MI_27_B","N2",3,0
"319","MI_27_C","N1",3,0
"320","MI_27_C","N2",3,0
"321","MI_28_A","N1",2,1
"322","MI_28_A","N2",2,1
"323","MI_28_B","N1",3,0
"324","MI_28_B","N2",3,0
"325","MI_28_C","N1",2,1
"326","MI_28_C","N2",3,0
"327","MI_29_A","N1",3,0
"328","MI_29_A","N2",3,0
"329","MI_29_B","N1",3,0
"330","MI_29_B","N2",3,0
"331","MI_29_C","N1",2,1
"332","MI_29_C","N2",3,0
"333","MI_30_A","N1",3,0
"334","MI_30_A","N2",3,0
"335","MI_30_B","N1",3,0
"336","MI_30_B","N2",2,1
"337","MI_30_C","N1",3,0
"338","MI_30_C","N2",3,0
"339","MI_31_A","N1",2,1
"340","MI_31_A","N2",3,0
"341","MI_31_B","N1",3,0
"342","MI_31_B","N2",2,1
"343","MI_31_C","N1",0,3
"344","MI_31_C","N2",3,0
"345","MI_32_A","N1",2,1
"346","MI_32_A","N2",2,1
"347","MI_32_B","N1",2,1
"348","MI_32_B","N2",2,1
"349","MI_32_C","N1",1,2
"350","MI_32_C","N2",2,1
"351","MI_33_A","N1",2,1
"352","MI_33_A","N2",1,2
"353","MI_33_B","N1",2,1
"354","MI_33_B","N2",3,0
"355","MI_33_C","N1",2,1
"356","MI_33_C","N2",3,0
"357","MI_34_A","N1",2,1
"358","MI_34_A","N2",1,2
"359","MI_34_B","N1",2,1
"360","MI_34_B","N2",3,0
"361","MI_34_C","N1",3,0
"362","MI_34_C","N2",3,0
"363","MI_35_A","N1",1,2
"364","MI_35_A","N2",2,1
"365","MI_35_B","N1",3,0
"366","MI_35_B","N2",1,2
"367","MI_35_C","N1",1,2
"368","MI_35_C","N2",3,0
"369","MI_36_A","N1",1,2
"370","MI_36_A","N2",1,2
"371","MI_36_B","N1",2,1
"372","MI_36_B","N2",1,2
"373","MI_36_C","N1",2,1
"374","MI_36_C","N2",1,2
"375","MI_37_A","N1",1,2
"376","MI_37_A","N2",2,1
"377","MI_37_B","N1",2,1
"378","MI_37_B","N2",1,2
"379","MI_37_C","N1",2,1
"380","MI_37_C","N2",3,0
"381","MI_38_A","N1",2,1
"382","MI_38_A","N2",1,2
"383","MI_38_B","N1",3,0
"384","MI_38_B","N2",2,1
"385","MI_38_C","N1",2,1
"386","MI_38_C","N2",2,1
"387","MI_39_A","N1",2,1
"388","MI_39_A","N2",3,0
"389","MI_39_B","N1",3,0
"390","MI_39_B","N2",2,1
"391","MI_39_C","N1",0,3
"392","MI_39_C","N2",2,1
"393","MI_41_A","N1",1,2
"394","MI_41_A","N2",2,1
"395","MI_41_B","N1",1,2
"396","MI_41_B","N2",1,2
"397","MI_41_C","N1",0,3
"398","MI_41_C","N2",2,1
"399","MI_42_A","N1",1,2
"400","MI_42_A","N2",2,1
"401","MI_42_B","N1",2,1
"402","MI_42_B","N2",2,1
"403","MI_42_C","N1",3,0
"404","MI_42_C","N2",2,1
"405","MI_43_A","N1",0,3
"406","MI_43_A","N2",1,2
"407","MI_43_B","N1",1,2
"408","MI_43_B","N2",2,1
"409","MI_43_C","N1",1,2
"410","MI_43_C","N2",1,2
"411","MI_44_A","N1",1,2
"412","MI_44_A","N2",0,3
"413","MI_44_B","N1",1,2
"414","MI_44_B","N2",1,2
"415","MI_44_C","N1",1,2
"416","MI_44_C","N2",1,2
"417","MI_45_A","N1",1,2
"418","MI_45_A","N2",3,0
"419","MI_45_B","N1",0,3
"420","MI_45_B","N2",2,1
"421","MI_45_C","N1",1,2
"422","MI_45_C","N2",3,0
"423","MI_46_A","N1",3,0
"424","MI_46_A","N2",2,1
"425","MI_46_B","N1",2,1
"426","MI_46_B","N2",1,2
"427","MI_46_C","N1",1,2
"428","MI_46_C","N2",2,1
"429","MI_47_A","N1",2,1
"430","MI_47_A","N2",2,1
