sample_id,target,mean_ct
CC_14_B,N2,35.81307983
CC_39_A,N1,34.70746104
CC_39_B,N1,34.26590729
CC_39_C,N1,34.3357633
CC_41_A,N1,34.49026871
CC_41_C,N1,35.50196711
CC_43_A,N1,36.21187719
CC_46_A,N2,34.86385345
CC_46_C,N1,35.10778046
CC_50_C,N1,36.78879165
MI_10_A,N2,35.71312841
MI_11_B,N2,35.87756856
MI_17_A,N1,36.44743601
MI_17_B,N2,36.12214915
MI_19_A,N1,36.10801061
MI_19_B,N2,36.5827268
MI_25_A,N1,35.78263855
MI_31_C,N1,35.61291885
MI_39_C,N1,35.58664958
MI_41_C,N1,35.62965647
MI_43_A,N1,34.22191238
MI_44_A,N2,35.44480006
MI_45_B,N1,36.1380043
MI_47_B,N1,35.79285304
NO_16_A,N2,36.13663483
NO_17_A,N2,35.93657684
NO_17_B,N1,35.51355998
NO_17_B,N2,35.88480504
NO_38_B,N2,34.75478999
NO_43_B,N1,33.6612498
NO_43_C,N2,35.41215134
NO_44_A,N1,35.9279658
NO_45_B,N1,32.58187866
NO_45_B,N2,33.47614288
NO_7_C,N1,35.2207578
NO_7_C,N2,35.48173141
NO_9_A,N2,36.68256633
